Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A0A0M2Y2F8,A0A0M2Y2F8_BRUML,unreviewed,"3'(2'),5'-bisphosphate nucleotidase CysQ",Brucella melitensis,269,29459
A0A0M2YAC3,A0A0M2YAC3_BRUML,unreviewed,Aminopeptidase N,Brucella melitensis,883,29459
A0A1B3RWD2,A0A1B3RWD2_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,423,29459
A0A1B3RZ31,A0A1B3RZ31_BRUML,unreviewed,50S ribosomal protein L10,Brucella melitensis,172,29459
A0A1B3S1G6,A0A1B3S1G6_BRUML,unreviewed,Patatin,Brucella melitensis,315,29459
A0A1B3S3J9,A0A1B3S3J9_BRUML,unreviewed,Peptide ABC transporter ATP-binding protein,Brucella melitensis,250,29459
A0A0M2Y4P6,A0A0M2Y4P6_BRUML,unreviewed,3-hydroxyisobutyryl-CoA hydrolase,Brucella melitensis,349,29459
A0A0M2Y923,A0A0M2Y923_BRUML,unreviewed,Phosphate transport system permease protein PstA,Brucella melitensis,436,29459
A0A0M2Y5H4,A0A0M2Y5H4_BRUML,unreviewed,Transcriptional regulator,Brucella melitensis,236,29459
A0A0M2YB77,A0A0M2YB77_BRUML,unreviewed,RNA methyltransferase,Brucella melitensis,297,29459
A0A1B3S0Y0,A0A1B3S0Y0_BRUML,unreviewed,Peptide chain release factor I,Brucella melitensis,145,29459
A0A1C1UJ84,A0A1C1UJ84_BRUML,unreviewed,Amidohydrolase,Brucella melitensis,560,29459
A0A1B3RY98,A0A1B3RY98_BRUML,unreviewed,Protein-L-isoaspartate O-methyltransferase,Brucella melitensis,222,29459
A0A1B3S3C3,A0A1B3S3C3_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,133,29459
A0A1B3S3S5,A0A1B3S3S5_BRUML,unreviewed,N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25),Brucella melitensis,387,29459
A0A1B3RYE7,A0A1B3RYE7_BRUML,unreviewed,Cysteine desulfurase (EC 2.8.1.7),Brucella melitensis,414,29459
A0A1B3S0Z6,A0A1B3S0Z6_BRUML,unreviewed,Benzoate transporter,Brucella melitensis,383,29459
A0A1B3S3X3,A0A1B3S3X3_BRUML,unreviewed,NAD(P) transhydrogenase subunit alpha,Brucella melitensis,139,29459
A0A0M2Y4U6,A0A0M2Y4U6_BRUML,unreviewed,Molybdopterin synthase sulfur carrier subunit,Brucella melitensis,85,29459
A0A0M2Y7Q2,A0A0M2Y7Q2_BRUML,unreviewed,Mechanosensitive ion channel protein MscS,Brucella melitensis,408,29459
A0A1B3RYF6,A0A1B3RYF6_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,230,29459
A0A1B3S144,A0A1B3S144_BRUML,unreviewed,Transglutaminase,Brucella melitensis,206,29459
A0A0M2Y4N0,A0A0M2Y4N0_BRUML,unreviewed,Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III),Brucella melitensis,234,29459
A0A0M2Y917,A0A0M2Y917_BRUML,unreviewed,"2-hydroxy-6-oxo-2,4-heptadienoate hydrolase",Brucella melitensis,229,29459
A0A0M2Y969,A0A0M2Y969_BRUML,unreviewed,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),Brucella melitensis,107,29459
A0A1C1UHA2,A0A1C1UHA2_BRUML,unreviewed,Autotransporter outer membrane beta-barrel domain-containing protein,Brucella melitensis,2758,29459
A0A0M2Y1B7,A0A0M2Y1B7_BRUML,unreviewed,Calcium-binding protein,Brucella melitensis,137,29459
A0A0M2Y8W5,A0A0M2Y8W5_BRUML,unreviewed,AsnC family transcriptional regulator,Brucella melitensis,146,29459
A0A0M2Y4X3,A0A0M2Y4X3_BRUML,unreviewed,p-type DNA transfer ATPase VirB11,Brucella melitensis,361,29459
A0A0M2Y660,A0A0M2Y660_BRUML,unreviewed,2-haloalkanoic acid dehalogenase,Brucella melitensis,205,29459
A0A0M2Y2E7,A0A0M2Y2E7_BRUML,unreviewed,Transcriptional regulator,Brucella melitensis,153,29459
A0A0M2Y7V5,A0A0M2Y7V5_BRUML,unreviewed,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),Brucella melitensis,450,29459
A0A1B3S0V8,A0A1B3S0V8_BRUML,unreviewed,Membrane protein FxsA,Brucella melitensis,165,29459
A0A1C1VJ43,A0A1C1VJ43_BRUML,unreviewed,GNAT family acetyltransferase,Brucella melitensis,43,29459
A0A1B3S2B2,A0A1B3S2B2_BRUML,unreviewed,Dimethyl sulfoxide reductase,Brucella melitensis,235,29459
A0A1B3S3T4,A0A1B3S3T4_BRUML,unreviewed,Aldehyde dehydrogenase,Brucella melitensis,182,29459
A0A1B3RXY1,A0A1B3RXY1_BRUML,unreviewed,Amino acid ABC transporter substrate-bindnig protein,Brucella melitensis,343,29459
A0A1B3S0N6,A0A1B3S0N6_BRUML,unreviewed,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),Brucella melitensis,421,29459
A0A1B3S3U7,A0A1B3S3U7_BRUML,unreviewed,Histidine utilization repressor,Brucella melitensis,247,29459
A0A1B3S2Y0,A0A1B3S2Y0_BRUML,unreviewed,Microcin ABC transporter ATP-binding protein,Brucella melitensis,536,29459
A0A1B3RW82,A0A1B3RW82_BRUML,unreviewed,DNA polymerase III subunit beta (EC 2.7.7.7),Brucella melitensis,372,29459
A0A1B3RYV0,A0A1B3RYV0_BRUML,unreviewed,LexA repressor (EC 3.4.21.88),Brucella melitensis,240,29459
A0A1B3RZQ0,A0A1B3RZQ0_BRUML,unreviewed,ATP-binding protein,Brucella melitensis,513,29459
A0A1B3S0D3,A0A1B3S0D3_BRUML,unreviewed,NAD-glutamate dehydrogenase,Brucella melitensis,1600,29459
A0A1B3S494,A0A1B3S494_BRUML,unreviewed,ATPase,Brucella melitensis,293,29459
A0A1B3RXI6,A0A1B3RXI6_BRUML,unreviewed,Cytoplasmic protein,Brucella melitensis,103,29459
A0A0M2Y131,A0A0M2Y131_BRUML,unreviewed,Bactoprenol glucosyl transferase,Brucella melitensis,326,29459
A0A0M2Y769,A0A0M2Y769_BRUML,unreviewed,Outer membrane protein assembly factor BamA,Brucella melitensis,781,29459
A0A0M2Y541,A0A0M2Y541_BRUML,unreviewed,AMP nucleosidase (EC 3.2.2.4),Brucella melitensis,500,29459
A0A0M2Y9J8,A0A0M2Y9J8_BRUML,unreviewed,SUF system Fe-S cluster assembly protein,Brucella melitensis,139,29459
A0A0P6TV71,A0A0P6TV71_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,119,29459
A0A0M2Y2Q6,A0A0M2Y2Q6_BRUML,unreviewed,RpiR family transcriptional regulator,Brucella melitensis,276,29459
A0A0M2Y4U4,A0A0M2Y4U4_BRUML,unreviewed,GNAT family N-acetyltransferase,Brucella melitensis,173,29459
A0A0M2Y5V9,A0A0M2Y5V9_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,55,29459
A0A1B3S3E6,A0A1B3S3E6_BRUML,unreviewed,Alanine racemase,Brucella melitensis,355,29459
A0A1B3S420,A0A1B3S420_BRUML,unreviewed,DNA polymerase III subunit epsilon,Brucella melitensis,332,29459
A0A1B3S491,A0A1B3S491_BRUML,unreviewed,Acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit,Brucella melitensis,428,29459
A0A1C1UYM3,A0A1C1UYM3_BRUML,unreviewed,Aspartate ammonia-lyase,Brucella melitensis,483,29459
A0A1C1VN46,A0A1C1VN46_BRUML,unreviewed,D-ribose ABC transporter substrate-binding protein,Brucella melitensis,315,29459
A0A0M2Y0Z8,A0A0M2Y0Z8_BRUML,unreviewed,Flagellin,Brucella melitensis,282,29459
A0A0M2Y2B9,A0A0M2Y2B9_BRUML,unreviewed,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),Brucella melitensis,173,29459
A0A0M2Y768,A0A0M2Y768_BRUML,unreviewed,Acyl-CoA thioesterase,Brucella melitensis,129,29459
A0A0M2Y7M9,A0A0M2Y7M9_BRUML,unreviewed,Single-stranded-DNA-specific exonuclease RecJ,Brucella melitensis,594,29459
A0A1B3S0X3,A0A1B3S0X3_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,339,29459
A0A0M2Y701,A0A0M2Y701_BRUML,unreviewed,MarR family transcriptional regulator,Brucella melitensis,136,29459
A0A1B3RY15,A0A1B3RY15_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,111,29459
A0A1B3S1M8,A0A1B3S1M8_BRUML,unreviewed,Thiamine/thiamine pyrophosphate ABC transporter permease ThiP,Brucella melitensis,543,29459
A0A1B3S2Z0,A0A1B3S2Z0_BRUML,unreviewed,Beta-mannosidase,Brucella melitensis,314,29459
A0A0M2Y9L8,A0A0M2Y9L8_BRUML,unreviewed,Peptidase,Brucella melitensis,471,29459
A0A0M2YE61,A0A0M2YE61_BRUML,unreviewed,Nitrilase,Brucella melitensis,284,29459
A0A1B3S0J2,A0A1B3S0J2_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,180,29459
A0A1C1V0C3,A0A1C1V0C3_BRUML,unreviewed,Enoyl-CoA hydratase,Brucella melitensis,219,29459
A0A1B3S022,A0A1B3S022_BRUML,unreviewed,GNAT family N-acetyltransferase,Brucella melitensis,169,29459
A0A1B3S1D6,A0A1B3S1D6_BRUML,unreviewed,Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase),Brucella melitensis,340,29459
A0A1B3S2F2,A0A1B3S2F2_BRUML,unreviewed,Flavin prenyltransferase UbiX (EC 2.5.1.129),Brucella melitensis,196,29459
A0A1B3RWY4,A0A1B3RWY4_BRUML,unreviewed,5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase),Brucella melitensis,425,29459
A0A1B3S208,A0A1B3S208_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,167,29459
A0A1B3S4H2,A0A1B3S4H2_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,94,29459
A0A0M2Y8M4,A0A0M2Y8M4_BRUML,unreviewed,SsrA-binding protein (Small protein B),Brucella melitensis,158,29459
A0A0M2Y7Z5,A0A0M2Y7Z5_BRUML,unreviewed,Peptidase M23,Brucella melitensis,120,29459
A0A1B3RYY9,A0A1B3RYY9_BRUML,unreviewed,Alkaline phosphatase,Brucella melitensis,481,29459
A0A1B3S2Q0,A0A1B3S2Q0_BRUML,unreviewed,Glycerol kinase,Brucella melitensis,356,29459
A0A0M2Y4N7,A0A0M2Y4N7_BRUML,unreviewed,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase",Brucella melitensis,269,29459
A0A0M2Y8Q8,A0A0M2Y8Q8_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,62,29459
A0A0M2Y2Q0,A0A0M2Y2Q0_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,55,29459
A0A0M2Y5W3,A0A0M2Y5W3_BRUML,unreviewed,Thioredoxin reductase,Brucella melitensis,107,29459
A0A0M2Y7C8,A0A0M2Y7C8_BRUML,unreviewed,Lactoylglutathione lyase,Brucella melitensis,73,29459
A0A0M2YAV3,A0A0M2YAV3_BRUML,unreviewed,ATP-binding protein,Brucella melitensis,280,29459
A0A1B3S0K5,A0A1B3S0K5_BRUML,unreviewed,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB,Brucella melitensis,427,29459
A0A1B3S1H1,A0A1B3S1H1_BRUML,unreviewed,Thiosulfate transporter subunit,Brucella melitensis,334,29459
A0A1B3S1V5,A0A1B3S1V5_BRUML,unreviewed,MFS transporter,Brucella melitensis,729,29459
A0A1B3S2G4,A0A1B3S2G4_BRUML,unreviewed,Transcriptional regulator,Brucella melitensis,338,29459
A0A0M2Y803,A0A0M2Y803_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,272,29459
A0A0M2Y932,A0A0M2Y932_BRUML,unreviewed,RNA-binding protein,Brucella melitensis,133,29459
A0A0M2Y9I4,A0A0M2Y9I4_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,101,29459
A0A0M2YA97,A0A0M2YA97_BRUML,unreviewed,Methylmalonate-semialdehyde dehydrogenase (Acylating),Brucella melitensis,498,29459
A0A0M2YCE9,A0A0M2YCE9_BRUML,unreviewed,Isoprenyl transferase (EC 2.5.1.-),Brucella melitensis,254,29459
A0A0M2Y386,A0A0M2Y386_BRUML,unreviewed,ABC transporter ATP-binding protein,Brucella melitensis,271,29459
A0A0P7HXB0,A0A0P7HXB0_BRUML,unreviewed,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),Brucella melitensis,972,29459
A0A1B3S4R9,A0A1B3S4R9_BRUML,unreviewed,Transcriptional regulator,Brucella melitensis,102,29459
A0A1B3S108,A0A1B3S108_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,74,29459
A0A0M2Y436,A0A0M2Y436_BRUML,unreviewed,Thiamine pyrophosphate-binding protein,Brucella melitensis,561,29459
A0A0M2YC32,A0A0M2YC32_BRUML,unreviewed,Cobalt-precorrin-6A reductase,Brucella melitensis,248,29459
A0A1B3S036,A0A1B3S036_BRUML,unreviewed,Cell division coordinator CpoB,Brucella melitensis,488,29459
A0A1B3S192,A0A1B3S192_BRUML,unreviewed,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),Brucella melitensis,308,29459
A0A1B3RXC0,A0A1B3RXC0_BRUML,unreviewed,Diguanylate cyclase,Brucella melitensis,964,29459
A0A1B3RYK5,A0A1B3RYK5_BRUML,unreviewed,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),Brucella melitensis,279,29459
A0A1B3S0B6,A0A1B3S0B6_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,72,29459
A0A1B3S1D3,A0A1B3S1D3_BRUML,unreviewed,Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase),Brucella melitensis,746,29459
A0A1B3S2P4,A0A1B3S2P4_BRUML,unreviewed,SAM-dependent methyltransferase,Brucella melitensis,433,29459
A0A0M2Y487,A0A0M2Y487_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,119,29459
A0A0M2Y5I5,A0A0M2Y5I5_BRUML,unreviewed,Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1),Brucella melitensis,329,29459
A0A1B3S295,A0A1B3S295_BRUML,unreviewed,Acyl-CoA dehydrogenase,Brucella melitensis,384,29459
A0A1B3S3X2,A0A1B3S3X2_BRUML,unreviewed,6-aminohexanoate hydrolase,Brucella melitensis,405,29459
A0A0M2Y6T6,A0A0M2Y6T6_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,154,29459
A0A0M2Y8M7,A0A0M2Y8M7_BRUML,unreviewed,Flagella basal body P-ring formation protein FlgA,Brucella melitensis,160,29459
A0A1B3S3P0,A0A1B3S3P0_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,340,29459
A0A0M2Y4G9,A0A0M2Y4G9_BRUML,unreviewed,Dehydrogenase,Brucella melitensis,324,29459
A0A0M2YBY2,A0A0M2YBY2_BRUML,unreviewed,Exodeoxyribonuclease III,Brucella melitensis,268,29459
A0A0M2YDJ7,A0A0M2YDJ7_BRUML,unreviewed,Ribosome maturation factor RimP,Brucella melitensis,219,29459
A0A1B3S2L8,A0A1B3S2L8_BRUML,unreviewed,Glucose-methanol-choline oxidoreductase,Brucella melitensis,544,29459
A0A1C1V4A6,A0A1C1V4A6_BRUML,unreviewed,Host specificity protein,Brucella melitensis,867,29459
A0A0M2Y4W4,A0A0M2Y4W4_BRUML,unreviewed,N-formylglutamate amidohydrolase,Brucella melitensis,296,29459
A0A0M2Y6H3,A0A0M2Y6H3_BRUML,unreviewed,Precorrin-4 C(11)-methyltransferase,Brucella melitensis,252,29459
A0A0M2Y8B1,A0A0M2Y8B1_BRUML,unreviewed,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",Brucella melitensis,281,29459
A0A0M2Y9X4,A0A0M2Y9X4_BRUML,unreviewed,Chromosome partitioning protein ParA,Brucella melitensis,190,29459
A0A0P7IXJ0,A0A0P7IXJ0_BRUML,unreviewed,2-hydroxy-acid oxidase,Brucella melitensis,429,29459
A0A1B3S1Q4,A0A1B3S1Q4_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,54,29459
A0A1B3S234,A0A1B3S234_BRUML,unreviewed,MFS transporter,Brucella melitensis,433,29459
A0A0M2Y3L2,A0A0M2Y3L2_BRUML,unreviewed,ABC transporter,Brucella melitensis,345,29459
A0A0M2YA12,A0A0M2YA12_BRUML,unreviewed,Molecular chaperone DjlA,Brucella melitensis,236,29459
A0A0M2Y726,A0A0M2Y726_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,178,29459
A0A0M2YB44,A0A0M2YB44_BRUML,unreviewed,Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8),Brucella melitensis,252,29459
A0A1C1UZ72,A0A1C1UZ72_BRUML,unreviewed,Alcohol dehydrogenase,Brucella melitensis,327,29459
A0A0M2Y7J8,A0A0M2Y7J8_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,77,29459
A0A0M2Y4M1,A0A0M2Y4M1_BRUML,unreviewed,DNA mismatch repair protein MutT,Brucella melitensis,147,29459
A0A1B3RWH7,A0A1B3RWH7_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,206,29459
A0A0M2Y4X6,A0A0M2Y4X6_BRUML,unreviewed,LacI family transcriptional regulator,Brucella melitensis,343,29459
A0A0M2Y8P3,A0A0M2Y8P3_BRUML,unreviewed,Catalase,Brucella melitensis,499,29459
A0A0M2YCG3,A0A0M2YCG3_BRUML,unreviewed,Competence protein ComE,Brucella melitensis,278,29459
A0A0M2Y1K8,A0A0M2Y1K8_BRUML,unreviewed,Acetate kinase (EC 2.7.2.1) (Acetokinase),Brucella melitensis,401,29459
A0A0M2Y844,A0A0M2Y844_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,71,29459
A0A0M2YBR7,A0A0M2YBR7_BRUML,unreviewed,Histidine kinase,Brucella melitensis,601,29459
A0A1B3S3A3,A0A1B3S3A3_BRUML,unreviewed,D-amino-acid oxidase,Brucella melitensis,367,29459
A0A0M2Y3Z4,A0A0M2Y3Z4_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,51,29459
A0A1B3RXP8,A0A1B3RXP8_BRUML,unreviewed,Coproporphyrinogen-III oxidase (EC 1.3.98.3),Brucella melitensis,444,29459
A0A0M2Y1D0,A0A0M2Y1D0_BRUML,unreviewed,Glycosyl transferase,Brucella melitensis,330,29459
A0A0M2YDZ2,A0A0M2YDZ2_BRUML,unreviewed,MFS transporter,Brucella melitensis,435,29459
A0A1B3S492,A0A1B3S492_BRUML,unreviewed,Penicillin acylase,Brucella melitensis,465,29459
A0A1C1USV2,A0A1C1USV2_BRUML,unreviewed,Cobaltochelatase subunit CobN,Brucella melitensis,1263,29459
A0A1B3RYG1,A0A1B3RYG1_BRUML,unreviewed,Transporter,Brucella melitensis,456,29459
A0A0M2Y4U8,A0A0M2Y4U8_BRUML,unreviewed,ABC transporter ATP-binding protein,Brucella melitensis,238,29459
A0A1B3S1L1,A0A1B3S1L1_BRUML,unreviewed,Choline dehydrogenase,Brucella melitensis,538,29459
A0A1B3S3T5,A0A1B3S3T5_BRUML,unreviewed,D-amino acid dehydrogenase (EC 1.4.99.-),Brucella melitensis,416,29459
A0A1B3S173,A0A1B3S173_BRUML,unreviewed,Formate transporter,Brucella melitensis,161,29459
A0A0M2Y9B2,A0A0M2Y9B2_BRUML,unreviewed,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase),Brucella melitensis,364,29459
A0A0M2Y789,A0A0M2Y789_BRUML,unreviewed,Oxidoreductase,Brucella melitensis,331,29459
A0A1B3RZD2,A0A1B3RZD2_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,133,29459
A0A1B3RY65,A0A1B3RY65_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,243,29459
A0A1B3S2N9,A0A1B3S2N9_BRUML,unreviewed,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase),Brucella melitensis,512,29459
A0A0M2YBB8,A0A0M2YBB8_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,105,29459
A0A0M2YCR5,A0A0M2YCR5_BRUML,unreviewed,Translation initiation factor IF-1,Brucella melitensis,72,29459
A0A0M2Y8K1,A0A0M2Y8K1_BRUML,unreviewed,Ubiquinol-cytochrome C reductase,Brucella melitensis,142,29459
A0A1B3S018,A0A1B3S018_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,170,29459
A0A1B3S0X0,A0A1B3S0X0_BRUML,unreviewed,Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49),Brucella melitensis,491,29459
A0A0M2Y426,A0A0M2Y426_BRUML,unreviewed,D-amino-acid transaminase,Brucella melitensis,293,29459
A0A1B3RXD8,A0A1B3RXD8_BRUML,unreviewed,Transposase,Brucella melitensis,128,29459
A0A1B3RYC6,A0A1B3RYC6_BRUML,unreviewed,Fe-S cluster assembly protein SufB,Brucella melitensis,507,29459
A0A1B3RYT2,A0A1B3RYT2_BRUML,unreviewed,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),Brucella melitensis,487,29459
A0A1B3S3S0,A0A1B3S3S0_BRUML,unreviewed,DNA-binding transcriptional regulator,Brucella melitensis,316,29459
A0A1B3S423,A0A1B3S423_BRUML,unreviewed,Cobalamin biosynthesis protein CobW,Brucella melitensis,377,29459
A0A1B3RXA1,A0A1B3RXA1_BRUML,unreviewed,SURF1-like protein,Brucella melitensis,249,29459
