Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q73GC3,GLYA_WOLPM,reviewed,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1),Wolbachia pipientis wMel,425,163164
Q73GR4,GPMI_WOLPM,reviewed,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)",Wolbachia pipientis wMel,506,163164
P61749,GPDA_WOLPM,reviewed,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase),Wolbachia pipientis wMel,327,163164
Q73FY6,HEMH_WOLPM,reviewed,Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase),Wolbachia pipientis wMel,315,163164
P61340,EFTS_WOLPM,reviewed,Elongation factor Ts (EF-Ts),Wolbachia pipientis wMel,286,163164
Q73FP5,EFP_WOLPM,reviewed,Elongation factor P (EF-P),Wolbachia pipientis wMel,188,163164
Q73IC3,ENGB_WOLPM,reviewed,Probable GTP-binding protein EngB,Wolbachia pipientis wMel,197,163164
P61455,FABZ_WOLPM,reviewed,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase),Wolbachia pipientis wMel,143,163164
Q73GG9,FABH_WOLPM,reviewed,3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III),Wolbachia pipientis wMel,318,163164
Q73GH2,FENR_WOLPM,reviewed,Ferredoxin--NADP reductase (FNR) (Fd-NADP(+) reductase) (EC 1.18.1.2),Wolbachia pipientis wMel,338,163164
Q73GR6,FMT_WOLPM,reviewed,Methionyl-tRNA formyltransferase (EC 2.1.2.9),Wolbachia pipientis wMel,299,163164
Q73HK3,FOLD_WOLPM,reviewed,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],Wolbachia pipientis wMel,292,163164
Q73G10,FPG_WOLPM,reviewed,Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18),Wolbachia pipientis wMel,271,163164
P61349,GATB_WOLPM,reviewed,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),Wolbachia pipientis wMel,474,163164
Q73HP2,GATA_WOLPM,reviewed,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),Wolbachia pipientis wMel,489,163164
Q73IM4,GLMU_WOLPM,reviewed,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],Wolbachia pipientis wMel,430,163164
Q73GX9,GRPE_WOLPM,reviewed,Protein GrpE (HSP-70 cofactor),Wolbachia pipientis wMel,189,163164
P61479,HSLV_WOLPM,reviewed,ATP-dependent protease subunit HslV (EC 3.4.25.2),Wolbachia pipientis wMel,184,163164
P61189,HTPG_WOLPM,reviewed,Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G),Wolbachia pipientis wMel,635,163164
Q73FL0,IF2_WOLPM,reviewed,Translation initiation factor IF-2,Wolbachia pipientis wMel,774,163164
Q73FQ1,ISPH_WOLPM,reviewed,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4),Wolbachia pipientis wMel,309,163164
Q73G24,ISPDF_WOLPM,reviewed,"Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT); 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)]",Wolbachia pipientis wMel,397,163164
Q73I23,ISPE_WOLPM,reviewed,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),Wolbachia pipientis wMel,288,163164
Q73IP1,ISPG_WOLPM,reviewed,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase),Wolbachia pipientis wMel,426,163164
Q73HV1,KGUA_WOLPM,reviewed,Guanylate kinase (EC 2.7.4.8) (GMP kinase),Wolbachia pipientis wMel,201,163164
Q73FY9,NDK_WOLPM,reviewed,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),Wolbachia pipientis wMel,139,163164
P61673,MUTS_WOLPM,reviewed,DNA mismatch repair protein MutS,Wolbachia pipientis wMel,849,163164
Q73GT3,MURD_WOLPM,reviewed,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase),Wolbachia pipientis wMel,509,163164
Q73GD4,PUR7_WOLPM,reviewed,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),Wolbachia pipientis wMel,240,163164
Q73GB0,PSD_WOLPM,reviewed,Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain],Wolbachia pipientis wMel,230,163164
Q73II8,PTH_WOLPM,reviewed,Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29),Wolbachia pipientis wMel,182,163164
Q73I44,PURA_WOLPM,reviewed,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),Wolbachia pipientis wMel,425,163164
Q73HM2,PYRH_WOLPM,reviewed,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),Wolbachia pipientis wMel,247,163164
Q73HS5,PYRG_WOLPM,reviewed,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase),Wolbachia pipientis wMel,529,163164
Q73HZ5,RL28_WOLPM,reviewed,50S ribosomal protein L28,Wolbachia pipientis wMel,104,163164
Q73H89,RL2_WOLPM,reviewed,50S ribosomal protein L2,Wolbachia pipientis wMel,274,163164
Q73GZ5,RL9_WOLPM,reviewed,50S ribosomal protein L9,Wolbachia pipientis wMel,184,163164
Q73GL5,RL33_WOLPM,reviewed,50S ribosomal protein L33,Wolbachia pipientis wMel,66,163164
Q73I40,RL36_WOLPM,reviewed,50S ribosomal protein L36,Wolbachia pipientis wMel,42,163164
Q73IS9,RLME_WOLPM,reviewed,Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase),Wolbachia pipientis wMel,192,163164
Q73GG7,RL32_WOLPM,reviewed,50S ribosomal protein L32,Wolbachia pipientis wMel,60,163164
Q73HA9,RPOA_WOLPM,reviewed,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),Wolbachia pipientis wMel,355,163164
Q73G60,RNH2_WOLPM,reviewed,Ribonuclease HII (RNase HII) (EC 3.1.26.4),Wolbachia pipientis wMel,198,163164
Q73FT3,RNC_WOLPM,reviewed,Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III),Wolbachia pipientis wMel,232,163164
Q73I74,RNH_WOLPM,reviewed,Ribonuclease H (RNase H) (EC 3.1.26.4),Wolbachia pipientis wMel,145,163164
Q73FM5,RPOZ_WOLPM,reviewed,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega),Wolbachia pipientis wMel,135,163164
P61311,RRF_WOLPM,reviewed,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),Wolbachia pipientis wMel,185,163164
Q73IW9,RPOBC_WOLPM,reviewed,Bifunctional DNA-directed RNA polymerase subunit beta-beta' (EC 2.7.7.6) [Includes: DNA-directed RNA polymerase subunit beta (RNA polymerase subunit beta) (Transcriptase subunit beta); DNA-directed RNA polymerase subunit beta' (RNA polymerase beta') (Transcriptase subunit beta')],Wolbachia pipientis wMel,2837,163164
P62240,RS16_WOLPM,reviewed,30S ribosomal protein S16,Wolbachia pipientis wMel,106,163164
Q73H86,RS10_WOLPM,reviewed,30S ribosomal protein S10,Wolbachia pipientis wMel,109,163164
P61787,RPPH_WOLPM,reviewed,RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase),Wolbachia pipientis wMel,162,163164
Q73HZ8,RS4_WOLPM,reviewed,30S ribosomal protein S4,Wolbachia pipientis wMel,204,163164
Q73IX8,RS7_WOLPM,reviewed,30S ribosomal protein S7,Wolbachia pipientis wMel,159,163164
Q73H92,RS3_WOLPM,reviewed,30S ribosomal protein S3,Wolbachia pipientis wMel,204,163164
P62478,RSMH_WOLPM,reviewed,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),Wolbachia pipientis wMel,314,163164
Q73IL5,RUVC_WOLPM,reviewed,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC),Wolbachia pipientis wMel,162,163164
Q73IR3,RSMA_WOLPM,reviewed,"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)",Wolbachia pipientis wMel,286,163164
Q73G51,RUVA_WOLPM,reviewed,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),Wolbachia pipientis wMel,190,163164
P61539,RUVB_WOLPM,reviewed,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),Wolbachia pipientis wMel,326,163164
Q73IQ0,SECB_WOLPM,reviewed,Protein-export protein SecB,Wolbachia pipientis wMel,167,163164
Q73HK8,SECA_WOLPM,reviewed,Protein translocase subunit SecA,Wolbachia pipientis wMel,868,163164
Q73H09,SSRP_WOLPM,reviewed,SsrA-binding protein (Small protein B),Wolbachia pipientis wMel,149,163164
Q73FW3,SUCC_WOLPM,reviewed,Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta),Wolbachia pipientis wMel,383,163164
Q73IL1,SYC_WOLPM,reviewed,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),Wolbachia pipientis wMel,457,163164
Q73G84,SURE_WOLPM,reviewed,5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase),Wolbachia pipientis wMel,250,163164
Q73IR2,TPIS_WOLPM,reviewed,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),Wolbachia pipientis wMel,242,163164
Q73IV6,TOLB_WOLPM,reviewed,Protein TolB,Wolbachia pipientis wMel,420,163164
Q73G71,TRMB_WOLPM,reviewed,tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase),Wolbachia pipientis wMel,221,163164
Q73GD5,TRMD_WOLPM,reviewed,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase),Wolbachia pipientis wMel,236,163164
Q73H71,TSAD_WOLPM,reviewed,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),Wolbachia pipientis wMel,335,163164
Q73G93,TRUA_WOLPM,reviewed,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I),Wolbachia pipientis wMel,245,163164
Q73HZ4,UBIE_WOLPM,reviewed,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)",Wolbachia pipientis wMel,238,163164
Q73G32,Y1135_WOLPM,reviewed,UPF0176 protein WD_1135,Wolbachia pipientis wMel,275,163164
Q73I47,Y333_WOLPM,reviewed,Maf-like protein WD_0333,Wolbachia pipientis wMel,198,163164
P62043,Y484_WOLPM,reviewed,Probable transcriptional regulatory protein WD_0484,Wolbachia pipientis wMel,246,163164
Q73HK1,Y557_WOLPM,reviewed,UPF0335 protein WD_0557,Wolbachia pipientis wMel,88,163164
Q73GK9,ZNUC_WOLPM,reviewed,Zinc import ATP-binding protein ZnuC (EC 3.6.3.-),Wolbachia pipientis wMel,246,163164
Q73IL4,YQGF_WOLPM,reviewed,Putative pre-16S rRNA nuclease (EC 3.1.-.-),Wolbachia pipientis wMel,155,163164
Q73HA6,KAD_WOLPM,reviewed,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),Wolbachia pipientis wMel,213,163164
Q73FS2,KTHY_WOLPM,reviewed,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),Wolbachia pipientis wMel,196,163164
Q73HR8,LEPA_WOLPM,reviewed,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),Wolbachia pipientis wMel,598,163164
P61200,LIPA_WOLPM,reviewed,Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA),Wolbachia pipientis wMel,287,163164
Q73H08,LGT_WOLPM,reviewed,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),Wolbachia pipientis wMel,263,163164
Q73GE2,LIPB_WOLPM,reviewed,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase),Wolbachia pipientis wMel,205,163164
Q73G44,MDH_WOLPM,reviewed,Malate dehydrogenase (EC 1.1.1.37),Wolbachia pipientis wMel,316,163164
Q73GV7,MIAA_WOLPM,reviewed,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),Wolbachia pipientis wMel,297,163164
Q73GH3,MNME_WOLPM,reviewed,tRNA modification GTPase MnmE (EC 3.6.-.-),Wolbachia pipientis wMel,508,163164
Q73HW8,MIAB_WOLPM,reviewed,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase),Wolbachia pipientis wMel,439,163164
Q73FR5,MNMA_WOLPM,reviewed,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),Wolbachia pipientis wMel,370,163164
Q73G61,MRAY_WOLPM,reviewed,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase),Wolbachia pipientis wMel,326,163164
Q73GE7,MNMG_WOLPM,reviewed,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A),Wolbachia pipientis wMel,644,163164
Q73HL4,MURB_WOLPM,reviewed,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase),Wolbachia pipientis wMel,295,163164
Q73I55,MURG_WOLPM,reviewed,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase),Wolbachia pipientis wMel,343,163164
Q73FX6,MURA_WOLPM,reviewed,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT),Wolbachia pipientis wMel,425,163164
P61683,MURC_WOLPM,reviewed,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),Wolbachia pipientis wMel,498,163164
Q73G09,PDXH_WOLPM,reviewed,Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase),Wolbachia pipientis wMel,216,163164
Q3V8B3,PDXJ_WOLPM,reviewed,Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2),Wolbachia pipientis wMel,235,163164
Q73I41,PDRP_WOLPM,reviewed,"Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)",Wolbachia pipientis wMel,276,163164
Q73HJ8,NUOD_WOLPM,reviewed,NADH-quinone oxidoreductase subunit D (EC 1.6.5.11) (NADH dehydrogenase I subunit D) (NDH-1 subunit D),Wolbachia pipientis wMel,390,163164
Q73G42,NUOB_WOLPM,reviewed,NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B),Wolbachia pipientis wMel,168,163164
Q73IK1,NUOH_WOLPM,reviewed,NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H),Wolbachia pipientis wMel,341,163164
Q73GH4,NUOI_WOLPM,reviewed,NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I),Wolbachia pipientis wMel,169,163164
Q73HQ3,OBG_WOLPM,reviewed,GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg),Wolbachia pipientis wMel,340,163164
Q73GG8,PLSX_WOLPM,reviewed,Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),Wolbachia pipientis wMel,345,163164
P62422,PGK_WOLPM,reviewed,Phosphoglycerate kinase (EC 2.7.2.3),Wolbachia pipientis wMel,398,163164
Q73GB4,PLSY_WOLPM,reviewed,Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase),Wolbachia pipientis wMel,192,163164
Q73GN4,PNP_WOLPM,reviewed,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),Wolbachia pipientis wMel,757,163164
Q73GP1,PYRB_WOLPM,reviewed,Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),Wolbachia pipientis wMel,295,163164
P62222,RECA_WOLPM,reviewed,Protein RecA (Recombinase A),Wolbachia pipientis wMel,355,163164
Q73IC2,RF1_WOLPM,reviewed,Peptide chain release factor 1 (RF-1),Wolbachia pipientis wMel,359,163164
Q73FZ1,RECR_WOLPM,reviewed,Recombination protein RecR,Wolbachia pipientis wMel,201,163164
Q73IE9,RECO_WOLPM,reviewed,DNA repair protein RecO (Recombination protein O),Wolbachia pipientis wMel,240,163164
