Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A1KH33,ARFC_MYCBP,reviewed,Uncharacterized membrane protein ArfC,Mycobacterium bovis (strain BCG / Pasteur 1173P2),175,410289
A1KJ69,ARGC_MYCBP,reviewed,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),352,410289
A1KJ71,ARGB_MYCBP,reviewed,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),Mycobacterium bovis (strain BCG / Pasteur 1173P2),294,410289
A1KI99,ATPE_MYCBP,reviewed,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),Mycobacterium bovis (strain BCG / Pasteur 1173P2),121,410289
A1KJ75,ASSY_MYCBP,reviewed,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),398,410289
A1KI95,ATPFD_MYCBP,reviewed,ATP synthase subunit b-delta [Includes: ATP synthase subunit b (ATP synthase F(0) sector subunit b 2) (ATPase subunit I 2) (F-type ATPase subunit b 2) (F-ATPase subunit b 2); ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)],Mycobacterium bovis (strain BCG / Pasteur 1173P2),446,410289
A1KI94,ATPF_MYCBP,reviewed,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),Mycobacterium bovis (strain BCG / Pasteur 1173P2),171,410289
A1KLN6,AROK_MYCBP,reviewed,Shikimate kinase (SK) (EC 2.7.1.71),Mycobacterium bovis (strain BCG / Pasteur 1173P2),176,410289
A1KJ76,ARLY_MYCBP,reviewed,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),470,410289
A1KI96,ATPA_MYCBP,reviewed,ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),Mycobacterium bovis (strain BCG / Pasteur 1173P2),549,410289
A1KI97,ATPG_MYCBP,reviewed,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),Mycobacterium bovis (strain BCG / Pasteur 1173P2),305,410289
A1KI93,ATPL_MYCBP,reviewed,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),Mycobacterium bovis (strain BCG / Pasteur 1173P2),81,410289
A1KI98,ATPB_MYCBP,reviewed,ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),Mycobacterium bovis (strain BCG / Pasteur 1173P2),486,410289
A1KJ01,BIOD_MYCBP,reviewed,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),226,410289
A1KJ00,BIOF_MYCBP,reviewed,8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase) (Alpha-oxoamine synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),386,410289
A1KJ05,BIOB_MYCBP,reviewed,Biotin synthase (EC 2.8.1.6),Mycobacterium bovis (strain BCG / Pasteur 1173P2),349,410289
A1KKY1,CDH_MYCBP,reviewed,CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),260,410289
A1KPA8,CH601_MYCBP,reviewed,60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1),Mycobacterium bovis (strain BCG / Pasteur 1173P2),539,410289
A1KIC1,CLPS_MYCBP,reviewed,ATP-dependent Clp protease adapter protein ClpS,Mycobacterium bovis (strain BCG / Pasteur 1173P2),101,410289
A1KFR2,CH602_MYCBP,reviewed,60 kDa chaperonin 2 (GroEL protein 2) (Protein Cpn60 2),Mycobacterium bovis (strain BCG / Pasteur 1173P2),540,410289
A1KPA9,CH10_MYCBP,reviewed,10 kDa chaperonin (GroES protein) (Protein Cpn10),Mycobacterium bovis (strain BCG / Pasteur 1173P2),100,410289
A1KNR3,COFD_MYCBP,reviewed,2-phospho-L-lactate transferase (EC 2.7.8.28) (LPPG:FO 2-phospho-L-lactate transferase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),331,410289
A1KF76,COBQ_MYCBP,reviewed,Cobyric acid synthase,Mycobacterium bovis (strain BCG / Pasteur 1173P2),494,410289
A1KLF3,CLPX_MYCBP,reviewed,ATP-dependent Clp protease ATP-binding subunit ClpX,Mycobacterium bovis (strain BCG / Pasteur 1173P2),426,410289
A1KHN2,COAA_MYCBP,reviewed,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),312,410289
A1KMV9,COAD_MYCBP,reviewed,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT),Mycobacterium bovis (strain BCG / Pasteur 1173P2),161,410289
A1KJW6,CINAL_MYCBP,reviewed,CinA-like protein,Mycobacterium bovis (strain BCG / Pasteur 1173P2),430,410289
A1KKQ0,COBS_MYCBP,reviewed,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),249,410289
A1KIP0,COXX_MYCBP,reviewed,Protoheme IX farnesyltransferase (EC 2.5.1.-) (Heme B farnesyltransferase) (Heme O synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),308,410289
A0A0H3MAA9,CPNT_MYCBP,reviewed,Outer membrane channel protein CpnT [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin homolog (TNT homolog) (NAD(+) glycohydrolase) (EC 3.2.2.5)],Mycobacterium bovis (strain BCG / Pasteur 1173P2),846,410289
A1KPT5,COAX_MYCBP,reviewed,Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),272,410289
A1KMX7,COFC_MYCBP,reviewed,2-phospho-L-lactate guanylyltransferase (LP guanylyltransferase) (EC 2.7.7.68),Mycobacterium bovis (strain BCG / Pasteur 1173P2),214,410289
A1KKP9,COBT_MYCBP,reviewed,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),361,410289
A1KHA2,CSOR_MYCBP,reviewed,Copper-sensing transcriptional repressor CsoR (Copper-sensitive operon repressor),Mycobacterium bovis (strain BCG / Pasteur 1173P2),119,410289
A1KL82,CYSH_MYCBP,reviewed,"Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)",Mycobacterium bovis (strain BCG / Pasteur 1173P2),254,410289
A1KM16,DCUP_MYCBP,reviewed,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),Mycobacterium bovis (strain BCG / Pasteur 1173P2),357,410289
A1KI72,CYSD_MYCBP,reviewed,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT),Mycobacterium bovis (strain BCG / Pasteur 1173P2),309,410289
A1KM64,DAPF_MYCBP,reviewed,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),289,410289
A1KMB5,DAPB_MYCBP,reviewed,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),Mycobacterium bovis (strain BCG / Pasteur 1173P2),245,410289
A1KFE4,DCD_MYCBP,reviewed,dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),190,410289
A1KM94,DAPA_MYCBP,reviewed,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),Mycobacterium bovis (strain BCG / Pasteur 1173P2),300,410289
A1KMX5,DDL_MYCBP,reviewed,D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),373,410289
A1KFQ1,DEF_MYCBP,reviewed,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),197,410289
A1KFV2,DEOC_MYCBP,reviewed,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),224,410289
A1KLS7,DHAA_MYCBP,reviewed,Haloalkane dehalogenase (EC 3.8.1.5),Mycobacterium bovis (strain BCG / Pasteur 1173P2),300,410289
A1KL43,DGTL1_MYCBP,reviewed,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,Mycobacterium bovis (strain BCG / Pasteur 1173P2),431,410289
A1KN09,DNLJ_MYCBP,reviewed,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),Mycobacterium bovis (strain BCG / Pasteur 1173P2),691,410289
A1KJD0,DER_MYCBP,reviewed,GTPase Der (GTP-binding protein EngA),Mycobacterium bovis (strain BCG / Pasteur 1173P2),463,410289
A1KFH2,DNAK_MYCBP,reviewed,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),Mycobacterium bovis (strain BCG / Pasteur 1173P2),625,410289
A1KPS2,DISA_MYCBP,reviewed,DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (EC 2.7.7.85),Mycobacterium bovis (strain BCG / Pasteur 1173P2),358,410289
A1KML5,DXR_MYCBP,reviewed,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),413,410289
A1KM20,DXS_MYCBP,reviewed,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),Mycobacterium bovis (strain BCG / Pasteur 1173P2),638,410289
A1KN60,DNLI_MYCBP,reviewed,Probable DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]),Mycobacterium bovis (strain BCG / Pasteur 1173P2),507,410289
A1KJW2,DTD_MYCBP,reviewed,D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),143,410289
A1KM35,DUT_MYCBP,reviewed,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),154,410289
A1KN36,ECH17_MYCBP,reviewed,Probable enoyl-CoA hydratase echA17 (EC 4.2.1.17),Mycobacterium bovis (strain BCG / Pasteur 1173P2),254,410289
A1KLA8,EIS_MYCBP,reviewed,N-acetyltransferase Eis (EC 2.3.1.-) (Enhanced intracellular survival protein) (Protein-lysine N-acetyltransferase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),402,410289
A1KLN1,EFP_MYCBP,reviewed,Elongation factor P (EF-P),Mycobacterium bovis (strain BCG / Pasteur 1173P2),187,410289
A1KMN3,EFTS_MYCBP,reviewed,Elongation factor Ts (EF-Ts),Mycobacterium bovis (strain BCG / Pasteur 1173P2),271,410289
A1KGF0,END4_MYCBP,reviewed,Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV),Mycobacterium bovis (strain BCG / Pasteur 1173P2),252,410289
A1KGG5,EFTU_MYCBP,reviewed,Elongation factor Tu (EF-Tu),Mycobacterium bovis (strain BCG / Pasteur 1173P2),396,410289
A1KFH3,GRPE_MYCBP,reviewed,Protein GrpE (HSP-70 cofactor),Mycobacterium bovis (strain BCG / Pasteur 1173P2),235,410289
A0A0G2Q9F8,GYRA_MYCBP,reviewed,DNA gyrase subunit A (EC 5.99.1.3),Mycobacterium bovis (strain BCG / Pasteur 1173P2),838,410289
A0A0G2Q9D6,GYRB_MYCBP,reviewed,DNA gyrase subunit B (EC 5.99.1.3),Mycobacterium bovis (strain BCG / Pasteur 1173P2),714,410289
A1KP87,GUAA_MYCBP,reviewed,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),525,410289
A1KG00,GSA_MYCBP,reviewed,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",Mycobacterium bovis (strain BCG / Pasteur 1173P2),462,410289
A1KFU9,HBHA_MYCBP,reviewed,Heparin-binding hemagglutinin (Adhesin),Mycobacterium bovis (strain BCG / Pasteur 1173P2),199,410289
A1KJ22,HIS3_MYCBP,reviewed,Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19),Mycobacterium bovis (strain BCG / Pasteur 1173P2),115,410289
A1KGG4,EFG_MYCBP,reviewed,Elongation factor G (EF-G),Mycobacterium bovis (strain BCG / Pasteur 1173P2),701,410289
A1KHG1,ENO_MYCBP,reviewed,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),429,410289
A1KL54,ERA_MYCBP,reviewed,GTPase Era,Mycobacterium bovis (strain BCG / Pasteur 1173P2),300,410289
A1KHP8,EX7L_MYCBP,reviewed,Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit),Mycobacterium bovis (strain BCG / Pasteur 1173P2),415,410289
A1KHP7,EX7S_MYCBP,reviewed,Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit),Mycobacterium bovis (strain BCG / Pasteur 1173P2),85,410289
A1KG10,FABH_MYCBP,reviewed,3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III),Mycobacterium bovis (strain BCG / Pasteur 1173P2),335,410289
A1KNR4,FBIB_MYCBP,reviewed,Coenzyme F420:L-glutamate ligase (EC 6.3.2.31) (EC 6.3.2.34) (Coenzyme F420-0:L-glutamate ligase) (Coenzyme F420-1:gamma-L-glutamate ligase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),448,410289
A1KF54,GABD1_MYCBP,reviewed,Succinate-semialdehyde dehydrogenase [NADP(+)] 1 (SSADH 1) (SSDH 1) (EC 1.2.1.79),Mycobacterium bovis (strain BCG / Pasteur 1173P2),457,410289
A1KP49,FOLD_MYCBP,reviewed,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],Mycobacterium bovis (strain BCG / Pasteur 1173P2),281,410289
A1KH80,G6PI_MYCBP,reviewed,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),Mycobacterium bovis (strain BCG / Pasteur 1173P2),553,410289
A1KMR9,FPG_MYCBP,reviewed,Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18),Mycobacterium bovis (strain BCG / Pasteur 1173P2),289,410289
A1KIJ5,FMT_MYCBP,reviewed,Methionyl-tRNA formyltransferase (EC 2.1.2.9),Mycobacterium bovis (strain BCG / Pasteur 1173P2),312,410289
A0A0H3MAB5,G3P_MYCBP,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),339,410289
A1KIY4,FRDD_MYCBP,reviewed,Fumarate reductase subunit D,Mycobacterium bovis (strain BCG / Pasteur 1173P2),125,410289
A1KG98,GAL1_MYCBP,reviewed,Galactokinase (EC 2.7.1.6) (Galactose kinase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),363,410289
A1KN06,GATA_MYCBP,reviewed,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),Mycobacterium bovis (strain BCG / Pasteur 1173P2),494,410289
A1KN07,GATC_MYCBP,reviewed,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),99,410289
A1KJE8,GABD2_MYCBP,reviewed,Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2 (SSADH 2) (SSDH 2) (EC 1.2.1.79),Mycobacterium bovis (strain BCG / Pasteur 1173P2),518,410289
A1KN04,GATB_MYCBP,reviewed,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),509,410289
A1KJN8,GCSH_MYCBP,reviewed,Glycine cleavage system H protein,Mycobacterium bovis (strain BCG / Pasteur 1173P2),134,410289
A1KPU4,GCH1_MYCBP,reviewed,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),Mycobacterium bovis (strain BCG / Pasteur 1173P2),202,410289
A1KJP4,GCSP_MYCBP,reviewed,Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring)),Mycobacterium bovis (strain BCG / Pasteur 1173P2),941,410289
A1KI01,GLGC_MYCBP,reviewed,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),404,410289
A1KMV1,GLTR1_MYCBP,reviewed,PGL/p-HBAD biosynthesis glycosyltransferase BCG_2978 (EC 2.4.1.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),256,410289
A1KFQ5,GCS2_MYCBP,reviewed,Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2),Mycobacterium bovis (strain BCG / Pasteur 1173P2),376,410289
A1KIB6,GLGB_MYCBP,reviewed,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",Mycobacterium bovis (strain BCG / Pasteur 1173P2),731,410289
A1KPC8,GLMM_MYCBP,reviewed,Phosphoglucosamine mutase (EC 5.4.2.10),Mycobacterium bovis (strain BCG / Pasteur 1173P2),448,410289
A1KFW3,GPMA_MYCBP,reviewed,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)",Mycobacterium bovis (strain BCG / Pasteur 1173P2),249,410289
A1KHL8,GREA_MYCBP,reviewed,Transcription elongation factor GreA (Transcript cleavage factor GreA),Mycobacterium bovis (strain BCG / Pasteur 1173P2),164,410289
A1KIG2,GLST_MYCBP,reviewed,Glycolipid sulfotransferase BCG_1434 (EC 2.8.2.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),327,410289
A1KET4,GMHA_MYCBP,reviewed,Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),196,410289
A1KHN9,GLPX_MYCBP,reviewed,"Fructose-1,6-bisphosphatase class 2 (FBPase class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2)",Mycobacterium bovis (strain BCG / Pasteur 1173P2),362,410289
A1KHF6,GLMU_MYCBP,reviewed,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],Mycobacterium bovis (strain BCG / Pasteur 1173P2),495,410289
A1KMV2,GLTR2_MYCBP,reviewed,Inactive PGL/p-HBAD biosynthesis glycosyltransferase BCG_2979c,Mycobacterium bovis (strain BCG / Pasteur 1173P2),366,410289
A1KIS5,HEMH_MYCBP,reviewed,Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),344,410289
A1KKG5,HIS2_MYCBP,reviewed,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),Mycobacterium bovis (strain BCG / Pasteur 1173P2),93,410289
A1KFY6,HEM3_MYCBP,reviewed,Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),309,410289
A1KL64,HRCA_MYCBP,reviewed,Heat-inducible transcription repressor HrcA,Mycobacterium bovis (strain BCG / Pasteur 1173P2),343,410289
A1KFY5,HEM1_MYCBP,reviewed,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70),Mycobacterium bovis (strain BCG / Pasteur 1173P2),468,410289
A1KJ21,HIS6_MYCBP,reviewed,Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),Mycobacterium bovis (strain BCG / Pasteur 1173P2),267,410289
A1KJ16,HIS8_MYCBP,reviewed,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),380,410289
A1KJ19,HIS4_MYCBP,reviewed,Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),245,410289
