yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CCE47	Entry
55623	Q6MZT3
55623	Q9NXG2
55622	B4DRC7
55622	Q6P3X3
55621	A0A024R7I5
55621	Q9NXH9
55620	Q9UGK3
55627	H7BXF4
55627	Q9NXE4
55626	A0A075B6T1
55626	Q9C0C7
55625	Q9NXF8
374928	M0QYZ8
374928	Q6PK81
219158	Q8VDP4
816269	Q39068
20257	P55821
20257	Q545S4
816261	Q9SHL4
816263	Q42344
22671	Q96DY5
192226	A0A0G2K139
192226	Q9R0L4
8291	O75923
728712	Q9NS26
728712	Q9NY87
26564	Q8C3W2
856289	P06738
26563	Q501P6
26563	Q9Z139
8292	Q9Y215
127733	Q96LJ8
65268	F8W9F9
65268	Q9Y3S1
20527	P32037
20527	Q3TPL8
20527	Q8BLF7
65264	Q9H832
65265	Q9H7E9
65266	Q96J92
423455	Q5ZMN5
65260	Q96BR5
65262	P15999
65263	A0A0A0MQS1
65263	B4DGI7
65263	Q53H96
393	P98171
392	Q07960
391	P84095
391	Q6ICQ8
390	B2R838
390	P61587
397	A0A024RAS5
397	P52566
396	J3QQX2
396	P52565
396	V9HWE8
395	O43182
395	Q59HG6
394	Q13017
41068	Q9VHJ7
399	Q15669
399	Q6ICP4
398	F1T0H7
398	Q99819
2540173	Q9URU9
114447	Q9PTF7
397774	A0A1L8G4X1
397774	A0A1L8G577
397774	P02362
32225	M9PGZ8
32225	Q9VYK0
32226	M9PHP0
32226	Q9VYJ6
32226	Q9VYJ7
32221	E1JJI5
32221	P54367
32222	B3DN56
32222	P47980
93134	A8KAD9
93134	Q8N587
32228	F0JAN1
32228	Q9I7S8
819359	O22264
94272	Q9EPT8
41067	A0A0B4JCW4
41067	A0A126GUR6
41067	Q95U38
41067	Q9VHJ8
389690	Q6ZMW9
389690	Q6ZUA9
3748	E7ETH1
3748	Q14003
389692	Q8NHW3
3746	P48547
3746	Q3KNS8
3747	A0A024RBA5
3747	A0A024RBE3
3747	A0A024RBF2
3747	Q96PR1
3744	Q16322
3745	Q14721
3742	P17658
3741	P22460
2542729	Q10160
2542728	P40902
27300	B4DL50
27300	B7ZAY1
27300	J3KQC8
27300	M0QZM7
27300	M0R2F0
27300	Q6NX49
2542720	P40373
2542723	O13978
2542722	O13980
2542725	P0CT68
2542725	P0CT69
2542727	Q10159
57661	A0A024RCA1
57661	B7ZM65
57661	B7ZM66
57661	E9PJ24
57661	F8WEF5
57661	Q9P1Y6
57663	Q9HBJ7
57662	Q9P1Y5
57665	Q53RX3
57665	Q9HBH5
57664	Q9H4M7
57666	Q9HCM7
57669	Q9HCM4
25984	A0A024R1X9
25984	Q8TC04
25984	Q9C075
734767	A0A1L8H324
734767	Q3KQ62
836047	A0A178UDR3
836047	A0A1P8BFI1
836047	A0A1P8BFL8
836047	F4KHU8
836047	Q9FIE8
816826	O64806
817606	A0A178VQ32
817606	Q39194
836044	Q9FIF1
817601	F4INU4
817601	Q682S0
817602	A0A178VKY5
817602	O04342
817603	A0A178VVN2
817603	O04341
817608	A0A178VRI3
817608	A0A1P8AY60
817608	Q94AY3
817609	O04336
29659	P51577
330908	G5E8G3
330908	Q6DFY2
113146	Q8IVF2
836040	A0A1P8BHI8
836040	Q9FIF5
810950	Q8IHX2
21934	O35305
21937	P25118
21937	Q3U479
21938	P25119
21938	Q545P4
21939	P27512
2746859	Q8J0M4
2746858	Q3E7Y6
75302	B2RUG8
75302	D6REV1
75302	Q8BJR0
75302	Q8BZ32
288150	Q5U1Z9
260297	A2CG20
260297	O35449
57085	Q6RW13
191143	Q23079
57082	Q8NG31
402843	Q7T2K9
57089	Q9NQZ7
57088	E9PHR9
57088	Q9NRQ2
444819	Q6DJF7
174005	Q19849
200734	B3KPL5
200734	Q7Z698
685859	D3ZID8
55832	Q86VP6
55833	B4DH66
55833	B4E0R5
55833	B7Z7P2
55833	Q5T6F2
55833	Q9P0H6
850353	P25565
855180	Q02795
855183	P28625
855182	P28627
2540860	O94364
855184	Q03790
855187	Q03795
855186	Q03792
6811	B4DKR0
6811	Q13190
6810	B7Z425
6810	Q12846
850359	P25348
850358	P25342
2540868	O43060
2540869	O74970
380441	A1A5I6
380441	Q7ZX35
9757	Q9UMN6
107702	A0A1B0GSG5
107702	Q91VI7
9755	A7MCY6
853918	P36137
853919	P36138
9751	O15079
9750	A0A024QZY9
9750	A0A024R028
9750	B7Z5J9
9750	B7Z6D6
9750	B7Z6U4
9750	F5GX51
9750	F5H029
9750	Q9Y4F9
853914	P36134
23329	F8VZ81
23329	Q9Y2I9
853916	P36135
853917	P36136
853910	P36132
853912	P19145
9758	Q14CM0
24146	P56746
37305	A1ZBT5
37305	B6IDR6
24144	A0A024R1I7
24144	Q9UBB9
810376	Q8IJH9
37300	O96863
37301	Q7K0F7
37302	A1ZBT2
37303	A1ZBT3
37308	A1ZBT8
37308	Q7JRQ2
810378	Q8IJH7
24148	O94906
24149	Q5VUA4
2063	F1D8R3
2063	P10588
380664	E9QP59
380664	Q9WU40
58936	Q9R011
37079	A0A1B2AJ79
37079	A1ZB42
100499482	P62825
11847	O08691
298648	I6L9G6
11846	Q61176
146862	Q8IWX7
11845	P62331
11845	Q3U0D7
33754	Q9VMS9
189950	Q9N3V9
33753	Q7KTP1
33753	Q8IPK9
33753	Q95SI0
33753	Q9VMT1
189959	Q9U2E4
3635741	Q5ALV0
68349	Q9DCT2
346389	Q6ZN28
2745766	A0A178W7E1
2745766	A0A178W9B8
2745766	A8MQH6
2745766	B3H5U9
2745766	Q6NM15
326128	E1JIP2
326128	Q7KSD8
18537	E0CYV0
18537	E9PWE0
68342	Q9DCS9
34609	Q9VKD7
811772	Q8ILQ3
811771	Q8ILQ4
811775	Q8ILQ0
184295	O16922
8802	P53597
181195	C6KRH8
181195	Q20498
67371	Q9D8P7
822695	Q9LJ50
12010	P01887
851400	P24870
851401	Q12175
851403	Q12136
851404	P25441
108101	Q3TEE6
108101	Q8K1B8
851406	Q12142
851407	Q99207
851408	Q12250
851409	Q12342
24377	P05370
839424	Q9MAS5
114786	Q5GH76
3885849	C6KT30
3885848	C6KT29
946879	P08839
446708	Q6DDH4
2542392	Q1K9B6
3885840	C6KSN9
26396	Q63932
26396	Q8CB46
26396	Q91YS7
268465	Q8BJW7
109857	Q8K354
59086	P17246
2542394	O14109
161003	Q8TAV4
26390	A0A0A0MQA2
26390	Q6NS57
232813	Q8C3Q5
232811	Q6Q783
5740528	A0A126GV08
5740528	A8JPX0
5740528	E1JJ00
10251	O43610
10251	Q6ZUP3
831231	Q6ICZ8
181098	F3NWW5
181098	H2KZN3
181098	H2KZN4
389203	Q8N5G0
825476	Q9LYC1
361732	Q6AYQ4
825475	Q9LYC2
825473	A0A178VA54
825473	Q570C0
825470	A0A178V8G0
825470	Q9LYC6
825471	A0A178VEU0
825471	Q9LYC5
52463	E9Q9Y4
52463	Q3URK3
170685	Q8NFP7
72399	Q99MP8
389207	A8MXD5
144423	Q96MS3
90378	Q6SPF0
298532	Q6AYM2
183417	V6CJ04
339448	Q8IYL3
3361521	Q9P6M8
3361520	Q9P6M9
35218	Q9VIW9
35219	Q9VIW8
35215	D3DMM0
35215	Q2PDT4
35215	Q8INW7
35215	Q966T5
35215	Q9VIX2
35215	Q9VIX3
35216	Q9VIX1
244310	Q0VF59
244310	Q3V2X4
244310	Q8BJ42
35212	Q0E8P1
35212	Q9VIX6
35213	Q9VIX4
23266	O95490
2538848	O74910
23264	A0A024R1N2
23264	Q9UGR2
23265	B4DJ07
23265	B5MCY9
23265	Q63HP7
23265	Q9UPT5
132660	A0A024RDD8
132660	Q6MZP7
132660	Q7Z3G2
23263	O15068
101706	E9Q7G0
2538841	O59801
2538840	O74953
2538843	O74424
188774	P91487
2538845	O74849
2538844	O74837
23268	A0A1B0GTX1
23268	A0A1C7CYY6
23268	B3KY33
23268	Q6XZF7
2538846	O94477
109272	D3YU50
109272	Q6P6L5
177482	P19826
177482	Q8MPS2
177482	Q9BI31
177482	V6CJ36
177482	V6CK82
177482	V6CLG2
177482	V6CLK1
177482	V6CLL2
177481	Q9N3X2
177480	Q9N3X3
14183	B7ZWP2
14183	B9EKY4
14183	E9Q5C2
14183	E9Q7C7
14183	E9QK53
14183	P21803
177485	Q23345
816926	O82222
177489	Q27475
813730	C0H5F4
816923	A0A1P8B2J5
816923	A0A1P8B2J9
816923	A0A1P8B2M1
816923	O82219
43852	A0A0B4LG21
43852	Q9W283
43856	M9MS40
43856	M9PH39
43856	Q9W321
9253	A0A0C4DGH3
9253	A8K033
9253	B7Z5W0
9253	Q9Y6R0
81567	A0A024QZV0
81567	Q8NBS9
114780	Q7Z442
362923	D4ADS9
128853	Q9H1R2
855404	P26754
855405	P42843
855406	P42844
855407	P42845
6778	A8K4S9
6778	B4DQB3
6778	P42226
855401	P32453
855402	P21705
855403	P42842
6774	P40763
6775	Q14765
6776	A8K6I5
6776	K7EK35
6776	P42229
6776	Q59GY7
6777	P51692
6770	P49675
6770	Q6IBK0
855409	P21965
6772	P42224
6773	P52630
6773	R9QE65
73447	Q32P16
73447	Q8K412
73447	Q91V09
73447	S4R225
839223	A0A178W1Z6
839223	Q9LQX2
92747	Q8TDL5
839226	A0A178WM88
839226	Q9ZVH4
73442	Q8K0U4
24883	D3ZJ55
24883	P49952
810894	Q8II28
839228	A0A178WBG3
839228	Q9ZNT7
839229	A0A178W7C5
839229	B9DFI7
839229	F4HPE1
92749	Q96MC2
9333	B4DPS8
9333	O43548
810896	Q8II26
201895	A0A024R9S4
201895	Q96QK8
14184	E9QNJ9
14184	F6TK14
14184	Q61563
14184	Q7TSI8
117198	Q06BK5
117198	Q920Q8
10256	B4DL25
10256	G3V160
10256	Q53GM7
10256	Q969H4
443584	Q569S7
825897	A0A2H1ZEM3
326597	F1MLH6
32602	M9NDZ4
32602	M9NF89
32602	M9NH51
32602	Q24562
838985	A0A178WE05
838985	A0A1P8AT92
838985	Q9ZUC0
84221	Q9H0A9
93233	Q96M63
184080	Q19119
140850	Q9H1M4
121549	Q6XD76
176499	O18181
2768721	Q3ZAK6
14186	A0A0R4IZY3
14186	Q03142
396291	P19179
816722	Q9SJ13
140858	P61965
140859	Q91ZR4
173569	O17297
838983	Q9ZUC2
173561	O17304
852845	P31755
852844	P53183
852847	P53185
852846	P53184
84124	Q53GI3
852842	P05373
2539077	O14310
84229	Q8IY82
2539075	O94520
2539074	O94710
2539073	O94542
852848	P27705
2539071	O94543
856175	Q12178
856174	Q12350
811038	Q8IHN4
856176	Q12160
856171	P32331
856170	Q99177
856173	P32178
253430	Q8NFU5
821573	A0A178VAZ5
821573	Q94CF0
821570	A0A178VHD4
821570	Q8L795
856179	Q99344
856178	P25042
821575	A0A178VH38
821575	Q9LDE4
42810	A0A0B4KHZ1
42810	Q9VCI3
42811	Q9VCI0
42812	A0AVU6
42812	Q9VCH9
42814	Q9VCH7
42816	Q9VCH5
42817	A0A0B4K7Q6
42817	Q9VCH4
42819	Q9VCH1
820223	A0A178VMT9
820223	A0A1I9LSU4
820223	Q8W4B2
2655126	Q8IBQ3
2655124	Q8IBQ5
2655125	Q8IBQ4
170917	B2GUU9
5058	A0A024R5P0
5058	Q13153
170911	A0A0G2K344
854449	Q12033
854448	P07884
5054	A0A024QYT5
5054	P05121
854446	Q12024
854445	Q12029
854444	P32563
5050	A0A024R0L6
5050	Q15102
854442	Q08734
854441	Q08732
854440	P38969
824071	A0A178VCR3
824071	Q0WS60
824071	Q9SMU7
839912	Q9C8G3
839913	Q9ZTX8
362392	D3ZR17
839916	A0A097NUQ9
839916	Q9C8G5
839918	A0A178WI16
839918	Q9SUI5
281073	Q95KV1
38565	Q94517
72542	Q8BX10
320299	Q8BP00
261663	Q8SXQ8
26027	Q8WXI4
70134	A0A087WQ89
70134	Q9CVC4
364154	Q498C7
236900	Q4FJR4
236900	Q922H2
821005	A0A178VE22
821005	Q9LUT0
836255	Q94B75
836255	Q9FLJ9
64901	Q546R4
64901	Q8IVM9
64901	Q9H2T7
779274	A0A1L8HVT6
779274	Q05AW7
779276	Q0IHA2
400506	Q1ED39
818179	A0A178VPH8
818179	A0A178VRN9
818179	Q9SJ44
818178	A0A178VSX7
818178	Q9SJ45
837516	A0A1P8AUK7
837516	Q39019
837517	Q0WVJ5
818175	A0A178VN77
818175	Q1PEW5
818175	Q8GXE9
818174	F4ILT1
818174	Q9FNY0
24370	Q00939
175249	Q2WF59
172219	P91306
172218	P91305
172215	A0A0S4XR26
172215	A0A0S4XR31
172215	A0A0S4XR51
172215	A0A0S4XR69
172215	H2L045
172215	H2L046
172215	H2L047
172215	P92160
172214	P91401
172216	P91303
175247	Q8WTM6
172210	G4SL51
172210	G5EER0
172210	H2L044
175245	P46064
646960	P0CW18
36178	A1Z8G2
36179	A1Z8G3
44226	Q5BI44
44226	Q8MLW7
36174	A0A0B4LET0
36174	Q7K4C2
44228	Q9VQR2
36176	A0A0B4LF49
36176	A1Z8G0
36176	B7YZF0
36176	Q8T5S9
36170	Q7K4G8
64805	A8K7T1
64805	Q9H244
36173	Q7K0X9
33528	Q9VQM2
33529	M9PBX0
33529	P42003
33524	B7Z001
33524	Q9VQL7
18760	Q62101
33526	A8DYU0
33526	M9PBW7
33526	M9PC13
33526	M9PCH2
33526	M9PED5
33526	Q0E8U3
33526	Q8IPZ1
33526	Q8IPZ2
33526	Q9VQL8
33526	Q9VQM0
33527	Q4V6K4
33520	Q9VQL3
33521	Q8IPZ3
33521	Q9VQL4
18767	P63248
89944	A0A024R3N9
89944	Q8IW92
41543	Q9VG59
2542375	O14251
41540	Q9VG62
41547	Q9VG55
238057	P43029
41549	A0A126GUT9
41549	E1JIJ4
41549	Q4LBB9
831366	Q9LXG7
83637	E7EWM3
83637	Q8NF64
83636	Q9NSK7
83633	O88871
820757	A0A178V8X3
820757	Q9LDA7
94137	Q8IWN7
83639	A0A024R0T7
83639	Q9BY14
83638	Q9H3H3
827526	A0A2H1ZEM5
827526	Q9FUR2
827527	Q6LA43
25420	P23928
29995	B4DEY6
29995	B7Z6R5
29995	H7C3D2
29995	Q9NZU5
296570	B0BNJ5
296570	P69736
319030	Q8MZ65
30057	P62077
319033	Q8IPX7
2539078	O94704
322206	F1Q5L6
322206	Q6NWH7
316611	G3V9U1
306332	Q32Q06
25508	P14925
54226	P08592
54226	Q6P6Q5
174118	Q19936
178479	Q9U2U9
71774	Q5SX79
71770	Q5SWR1
71770	Q9DBG3
174111	Q95QG7
779188	Q4KMW3
28990	D6RG30
28990	Q2TB18
8034	B4DHV9
8034	B4DPV4
8034	P16260
8036	Q9UQ13
8031	A0A024QZI5
8031	B2R5V0
8031	Q13772
8031	Q96E88
8030	Q05CP8
8030	Q16204
21386	P70324
21386	Q3ULL3
21386	Q4VA43
398197	Q9DE14
8038	A8K6G4
8038	O43184
8038	U5NE98
2540094	Q9Y801
12589	O35594
12585	P97817
44913	A0A1B2AJ49
44913	P49258
186716	A0A163UTG7
186716	A0A168H5X3
186716	A0A168H612
186716	A0A168H651
44910	Q9VHW4
44915	I1WYG8
44915	Q9VPH2
109905	P62835
109905	Q3U7U8
109905	Q3V3W9
279561	Q80XP9
834159	Q0WTM6
834159	Q9FFS3
834158	A0A178ULK7
834158	A0A1P8BAH1
834158	Q9FFS4
126669	Q5VZ18
834151	Q9FFT0
810765	Q8IIF6
834154	A0A178UD67
834154	A8MRV0
834154	Q9FFS8
31422	Q9W4F8
150368	Q6ICB4
838632	A0A178WKA9
838632	P31168
838632	Q0WL48
838633	F4HST2
838633	P42759
838630	A0A178WCI1
838630	A0A1P8AU06
838630	F4HSS8
65065	Q6ZS30
838636	Q84P25
838637	A0A1P8AV51
838637	Q3E6Y4
65061	Q96Q40
2539851	Q4LB35
2539850	O74312
2539853	O94626
2539855	O60103
2539854	Q96WW6
2539857	Q1MTQ1
2539859	Q9USY7
2539858	Q12238
814242	Q8IDG7
57545	Q9P2K1
843189	A0A178W6Q0
843189	A8MQL0
843189	Q9SX22
2655469	C0H4Y0
843182	A0A178WCX7
843182	Q9XF43
843181	A0A178WLD4
843181	Q8LG76
13982	E7FJU2
13982	E7FJU3
13982	P19785
13983	A0A0R4J0Y6
13983	A0A1W2P736
13983	O08537
818862	Q9SIM9
842855	A8MS85
842855	F4I9Y7
842855	F4I9Y9
842854	A0A178WLP2
842854	Q8W468
842852	Q9AT00
842851	A0A1P8ASP9
842851	A8MR18
842851	Q9C5Q9
3512	P01591
842859	A0A178WM09
842859	A0A1P8AMK0
842859	Q9SXZ2
842858	F4IBG1
842858	Q9SXY0
38978	M9NDM3
38978	M9PBW9
38978	M9PEJ8
38978	M9PF06
38978	Q9VSL8
2298	Q12950
213236	Q6VY05
155465	Q8TD06
241311	A2ATY4
2542939	O14277
843454	Q9C994
174807	Q9XU97
81563	A0A024R926
81563	Q9H246
81562	B4DI83
81562	B4DVH1
81562	B4E308
81562	Q9H0V9
174802	P52715
843451	A0A178WHC6
843451	F4I8E9
174800	P52713
174800	Q7JMI1
174801	Q9XVX4
81569	Q9H568
811996	Q8IL35
50793	Q9JK30
390113	Q8NH49
38974	Q9VSL4
38974	Q9VSL5
174808	Q20374
843028	A0A1P8AQ81
843028	Q8LFP9
38975	Q9VSL6
852702	P22147
43334	A0A0B4LHS8
43334	B7FNJ4
43334	P29775
43332	Q9VB02
43333	Q2PDP6
43330	Q9VB05
852703	Q02199
16002	P09535
842580	Q8H1H9
16001	E9QNX9
16001	Q3U1L4
16001	Q60751
5869	A0A024RB09
5869	P61020
5868	A0A024R2K1
5868	P20339
16004	Q07113
16004	Q8C6V9
5865	P20337
5864	A0A024R7I7
5864	P20336
5867	A0A024R3U9
5867	A0A087WYT5
5867	P20338
5866	Q8TBN0
5861	B7Z8M7
5861	P62820
5861	Q5U0I6
5860	A0A140VKA9
5860	P09417
5863	A0A024RCS9
5863	O15211
5862	A0A024R7V6
5862	P61019
6950	E7EQR6
6950	P17987
2239	O75487
56847	Q3UIA4
56847	Q9JHW9
7354424	Q6IKC0
17355	A3KMF4
17355	E9Q921
17355	Q3UP77
