NP_003632.3,interferon-induced transmembrane protein 1,A0A024R210;P13164
NP_002750.1,"interferon-induced, double-stranded RNA-activated protein kinase isoform a",P19525;Q8IW76
NP_004312.2,kinesin-like protein KIF1A isoform 2,Q12756
NP_055889.2,kinesin-like protein KIF1B isoform b,O60333
NP_006603.2,kinesin-like protein KIF1C,O43896
NP_002340.2,lymphocyte antigen 75 precursor,O60449;Q59H44
NP_005944.1,metallothionein-2,P02795
NP_002364.5,microtubule-associated protein 1A,P78559;Q504X9
NP_060644.4,microtubule-associated protein 1S isoform 1,Q66K74
NP_004685.2,monocarboxylate transporter 7,A0A024R8J3;O15403
YP_003024027.1,NADH dehydrogenase subunit 2 (mitochondrion),P03891;Q7GXY9
NP_057202.3,NEDD8 ultimate buster 1 isoform 2,H3BM14;Q9Y5A7
NP_004289.1,nuclear pore complex protein Nup155 isoform 2,O75694
NP_683878.1,pantothenate kinase 1 isoform alpha,Q8TE04
NP_066967.3,PC4 and SFRS1-interacting protein isoform 1,O75475
NP_006103.1,peptidyl-prolyl cis-trans isomerase E isoform 1,Q9UNP9
NP_006212.1,peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Q13526
NP_001025055.1,pleckstrin homology domain-containing family G member 1 isoform c,Q5JYA6;Q9ULL1
NP_006187.2,poly(rC)-binding protein 1,Q15365;Q53SS8
NP_005720.1,PPIF: peptidylprolyl isomerase F (cyclophilin F),A0A024QZS4;P30405
NP_006234.1,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform isoform 1,Q15172
NP_000931.1,serum paraoxonase/lactonase 3,Q15166
NP_075556.1,sialoadhesin precursor,Q9BZZ2
NP_004718.1,sodium/potassium/calcium exchanger 1 isoform 1,O60721
NP_003121.1,sorcin isoform A,B4DHQ6;P30626
NP_004621.2,splicing factor 1 isoform 1,A0A024R572;Q15637
NP_001758.2,T-cell surface antigen CD2 isoform 2 precursor,P06729;Q53F96
NP_000723.1,T-cell surface glycoprotein CD3 delta chain isoform A precursor,B0YIY4;P04234
NP_000724.1,T-cell surface glycoprotein CD3 epsilon chain precursor,P07766
NP_000064.1,T-cell surface glycoprotein CD3 gamma chain precursor,B0YIY5;P09693
NP_000725.1,T-cell surface glycoprotein CD3 zeta chain isoform 2 precursor,P20963
NP_006790.1,testisin isoform 1 preproprotein,Q9Y6M0
NP_055214.1,tetraspanin-13,O95857;Q6FGK0
NP_036596.3,tolloid-like protein 1 isoform 1 precursor,B7ZLW3;O43897
NP_000651.3,transforming growth factor beta-1 preproprotein,P01137
NP_004175.2,"tryptophan--tRNA ligase, cytoplasmic isoform a",A0A024R6K8;P23381
NP_001272.2,tubulin-folding cofactor B isoform 1,Q99426
NP_001056.1,tumor necrosis factor receptor superfamily member 1A isoform 1 precursor,P19438
NP_002650.1,urokinase plasminogen activator surface receptor isoform 1 precursor,Q03405
NP_573571.1,WAS/WASL-interacting protein family member 2,Q8TF74
NP_062537.2,zinc finger protein 26 isoform 2,P17031;V9HW07
NP_115809.1,zinc finger protein 333 isoform 1,Q96JL9
NP_036553.2,zinc finger protein Rlf,Q13129
NP_002721.1,cAMP-dependent protein kinase catalytic subunit alpha isoform Calpha1,A0A024R7J0;P17612
NP_002722.1,cAMP-dependent protein kinase catalytic subunit beta isoform 2,B2RB89;P22694
NP_002723.2,cAMP-dependent protein kinase catalytic subunit gamma,P22612
NP_002736.3,mitogen-activated protein kinase 1,P28482;Q1HBJ4;Q499G7
NP_004326.1,bone marrow stromal antigen 2 precursor,A0A024R7H5;Q10589
NP_061828.1,polyubiquitin-B precursor,P0CG47;Q5U5U6
NP_066289.3,polyubiquitin-C,P0CG48
NP_006389.2,ubiquitin D,A0A1U9X8S6;O15205
NP_005722.1,actin-related protein 2/3 complex subunit 2,O15144;Q53R19
NP_001737.1,calnexin precursor,P27824
NP_004337.2,caspase-3 preproprotein,P42574
NP_001286.1,C-C chemokine receptor type 1,P32246;Q5U003
NP_001116513.2,C-C chemokine receptor type 2 isoform A,P41597
NP_005192.1,C-C chemokine receptor type 8,P51685
NP_001328.1,CX3C chemokine receptor 1 isoform b,P49238
NP_002330.1,lymphocyte-specific protein 1 isoform 1,P33241
NP_000368.1,wiskott-Aldrich syndrome protein,A0A024QYX8;P42768
NP_003351.2,2-hydroxyacylsphingosine 1-beta-galactosyltransferase precursor,Q16880
NP_000070.1,acetylcholine receptor subunit alpha isoform b precursor,P02708;Q53SH4
NP_000738.2,acetylcholine receptor subunit beta precursor,P11230
NP_000598.2,alpha-1-acid glycoprotein 1 precursor,P02763
NP_000599.1,alpha-1-acid glycoprotein 2 precursor,P19652
NP_000479.1,antithrombin-III precursor,A0A024R944;P01008
NP_005152.1,apelin receptor,B2RDH3;B3KQN4;P35414
NP_001287.2,atypical chemokine receptor 2,A0A024R2X7;O00590
NP_004164.2,cationic amino acid transporter 4,O43246
NP_001828.1,C-C chemokine receptor type 3 isoform 1,A0A024R2Z3;P51677;Q8TDP5
NP_005499.1,C-C chemokine receptor type 4,A0N0Q1;P51679
NP_066978.1,CD209 antigen isoform 1,B2R907;Q9NNX6
NP_057075.1,complement C1q subcomponent subunit A precursor,A0A024RAG6;P02745
NP_000482.3,complement C1q subcomponent subunit B precursor,A0A024RAB9;P02746
NP_758957.2,complement C1q subcomponent subunit C isoform 1 precursor,A0A024RAA7;P02747
NP_000055.2,complement C3 preproprotein,B4DR57;P01024;V9HWA9
NP_001002029,complement C4-B preproprotein,P0C0L4;P0C0L5
NP_001726.2,complement C5 isoform 1 preproprotein,P01031
NP_001728.1,complement component C9 preproprotein,P02748
NP_001006659.1,complement receptor type 2 isoform 1 precursor,P20023
NP_057268.1,C-type lectin domain family 4 member A isoform 1,Q9UMR7
NP_569708.1,C-type lectin domain family 4 member C isoform 1,Q8WTT0
NP_940894.1,C-type lectin domain family 4 member G isoform 1,Q08G24;Q6UXB4;Q6XYD1
NP_056532.4,C-type lectin domain family 4 member K,Q9UJ71
NP_055072.3,C-type lectin domain family 4 member M isoform 1,Q9H2X3
NP_006030.2,C-type mannose receptor 2 precursor,Q9UBG0
NP_003458.1,C-X-C chemokine receptor type 4 isoform b,P61073
NP_006555.1,C-X-C chemokine receptor type 6,A0N0N3;O00574
NP_004397.2,deleted in malignant brain tumors 1 protein isoform a precursor,Q9UGM3
NP_003370.2,ezrin,P15311
NP_997647.1,fibronectin isoform 1 precursor,P02751;Q6MZM7;Q9UQS6
NP_001447.2,filamin-A isoform 1,P21333;Q60FE5;Q6NXF2
NP_001448.2,filamin-B isoform 2,O75369
NP_001449.3,filamin-C isoform a,Q14315;Q59H94
NP_002296.1,galectin-1,P09382
NP_000823.4,"glutamate receptor ionotropic, NMDA 1 isoform GluN1-4a precursor",Q05586
NP_000824.1,"glutamate receptor ionotropic, NMDA 2A isoform 1 precursor",Q12879;Q547U9
NP_000825.2,"glutamate receptor ionotropic, NMDA 2B precursor",Q13224
NP_000826.2,"glutamate receptor ionotropic, NMDA 2C isoform 1 precursor",O15398;Q14957
NP_000827.2,"glutamate receptor ionotropic, NMDA 2D precursor",O15399;Q59G17
NP_597702.2,"glutamate receptor ionotropic, NMDA 3A precursor",Q8TCU5
NP_619635.1,"glutamate receptor ionotropic, NMDA 3B precursor",O60391;Q5F0I5
NP_000557.1,high affinity immunoglobulin gamma Fc receptor I precursor,P12314
NP_001017986.1,high affinity immunoglobulin gamma Fc receptor IB isoform 1 precursor,Q92637
NP_000876.3,integrin alpha-4 isoform 1 preproprotein,P13612
NP_000880.1,integrin beta-7 precursor,P26010
NP_002334.2,lactotransferrin isoform 1 preproprotein,P02788;V9HWI4
NP_067674.2,low affinity immunoglobulin gamma Fc region receptor II-a isoform 2 precursor,P12318
NP_003992.3,low affinity immunoglobulin gamma Fc region receptor II-b isoform 1 precursor,P31994
NP_000560.6,low affinity immunoglobulin gamma Fc region receptor III-A isoform a,M9MML0;P08637
NP_000561.3,low affinity immunoglobulin gamma Fc region receptor III-B isoform 2 precursor,O75015
NP_002429.1,macrophage mannose receptor 1 precursor,P22897
NP_000233.1,mannose-binding protein C precursor,P11226
NP_002435.1,moesin,P26038;V9HWC0
NP_002352.1,myelin-associated glycoprotein isoform a precursor,P20916;Q53ES7
NP_000739.1,neuronal acetylcholine receptor subunit beta-2 precursor,P17787;Q5SXY3
NP_004075.1,neutrophil defensin 1 preproprotein,P59665
NP_005208.1,neutrophil defensin 3 preproprotein,P59666;Q6EZE9
NP_001916.1,neutrophil defensin 4 preproprotein,P12838
NP_000792.1,peptidyl-prolyl cis-trans isomerase FKBP1A isoform a,P62942;Q0VDC6
NP_002610.1,platelet factor 4 precursor,P02776
NP_036416.1,potassium voltage-gated channel subfamily H member 3 isoform 1,Q9ULD8
NP_002612.1,properdin precursor,A0A0S2Z4I5;P27918
NP_005561.1,protein ERGIC-53 precursor,A0A024R2A7;P49257
NP_000828.1,protein lifeguard 1,Q7Z429
NP_001087239.2,pulmonary surfactant-associated protein A1 isoform 2 precursor,Q8IWL2
NP_003010.4,pulmonary surfactant-associated protein D precursor,P35247
NP_000468.1,serum albumin preproprotein,P02768
NP_055200.1,sialic acid-binding Ig-like lectin 7 isoform 1 precursor,Q9Y286
NP_002988.3,syndecan-1 precursor,P18827
NP_002989.2,syndecan-2 precursor,A0A024R9D1;P34741
NP_055469.3,syndecan-3 precursor,O75056
NP_002990.2,syndecan-4 precursor,P31431
NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,B4DT49;P01730
NP_002151.2,tenascin precursor,B4E1W8;P24821;Q4LE33
NP_003237.2,thrombospondin-1 precursor,P07996
NP_612564.1,toll-like receptor 4 isoform A precursor,O00206
NP_001900.1,cathepsin D preproprotein,P07339;V9HWI3
NP_001903.1,cathepsin L1 isoform 1 preproprotein,A0A024R276;P07711
NP_001324.2,cathepsin L2 preproprotein,A0A024R141;O60911
NP_004070.3,cathepsin S isoform 1 preproprotein,P25774
NP_001926.2,dipeptidyl peptidase 4,P27487
NP_006840.2,protein disulfide-isomerase A2 precursor,Q13087
NP_005304.3,protein disulfide-isomerase A3 precursor,P30101;V9HVY3
NP_004902.1,protein disulfide-isomerase A4 precursor,A0A090N8Y2;P13667
NP_006801.1,protein disulfide-isomerase A5 precursor,Q14554
NP_005733.1,protein disulfide-isomerase A6 isoform d precursor,Q15084
NP_000909.2,protein disulfide-isomerase precursor,A0A024R8S5;P07237
NP_000497.1,prothrombin isoform 1 preproprotein,P00734
NP_003320.2,thioredoxin isoform 1,H9ZYJ2;P10599
NP_002760.1,trypsin-1 preproprotein,P07477
NP_002761.1,trypsin-2 isoform 2 preproprotein,P07478;Q5NV56;Q6PK75
NP_002649.1,urokinase-type plasminogen activator isoform 1 preproprotein,A0A024QZM9;P00749;Q59GZ8
NP_002797.3,26S protease regulatory subunit 10B,A0A087X2I1;P62333
NP_002799.3,26S proteasome non-ATPase regulatory subunit 2 isoform 1,Q13200
NP_002943.2,40S ribosomal protein S2,P15880
NP_000996.2,40S ribosomal protein S3 isoform 1,P23396
NP_000998.1,"40S ribosomal protein S4, X isoform X isoform",B2R491;P62701
NP_001001.2,40S ribosomal protein S6,A2A3R6;P62753
NP_001003.1,40S ribosomal protein S8,P62241;Q5JR94
NP_001004.2,40S ribosomal protein S9 isoform a,A0A024R4M0;P46781
NP_002147.2,"60 kDa heat shock protein, mitochondrial",A0A024R3X4;P10809
NP_000993.1,60S acidic ribosomal protein P0,A0A024RBS2;P05388
NP_006004.3,60S ribosomal protein L10 isoform a,P27635;X5D2T3
NP_000968.2,60S ribosomal protein L13 isoform 1,A8K4C8;P26373
NP_003964.3,60S ribosomal protein L14,P50914
NP_000976.1,60S ribosomal protein L17 isoform a,A0A024R261;P18621
NP_000970.1,60S ribosomal protein L18 isoform 1,A0A024QZD1;Q07020
NP_000972.1,60S ribosomal protein L19 isoform 1,P84098
NP_000977.1,60S ribosomal protein L24,P83731;V9HW01
NP_000983.1,60S ribosomal protein L29,P47914
NP_000958.1,60S ribosomal protein L3 isoform a,P39023
NP_000959.2,60S ribosomal protein L4,P36578
NP_000960.2,60S ribosomal protein L5,A2RUM7;P46777
NP_000961.2,60S ribosomal protein L6 isoform 1,A0A024RBK3;Q02878
NP_000962.2,60S ribosomal protein L7,P18124
NP_000963.1,60S ribosomal protein L7a,P62424
NP_000964.1,60S ribosomal protein L8,P62917
NP_000652.2,60S ribosomal protein L9,P32969;Q53Z07
NP_005338.1,78 kDa glucose-regulated protein precursor,P11021;V9HWB4
NP_001351.2,7-dehydrocholesterol reductase,A0A024R5F7;Q9UBM7
NP_001092.1,"actin, cytoplasmic 1",P60709;Q1KLZ0
NP_005709.1,actin-related protein 2/3 complex subunit 4 isoform a,P59998
NP_001143.2,ADP/ATP translocase 2,P05141;Q6NVC0
NP_001651.1,ADP-ribosylation factor 4,P18085
NP_001653.1,ADP-ribosylation factor 5,A4D0Z3;P84085
NP_001654.1,ADP-ribosylation factor 6,P62330
NP_001168.1,ADP-ribosylation factor-like protein 1 isoform 1,P40616
NP_001419.1,alpha-enolase isoform 1,A0A024R4F1;P06733
NP_116116.1,alpha-internexin,Q16352
NP_004059.2,AP-2 complex subunit mu isoform a,Q96CW1
NP_003929.4,AP-3 complex subunit delta-1 isoform 2,O14617
NP_001275.1,AP-3 complex subunit sigma-1 isoform 1,Q92572
NP_004199.1,"apoptosis-inducing factor 1, mitochondrial isoform AIF precursor",O95831
NP_001340.2,"aspartate--tRNA ligase, cytoplasmic isoform 1",A0A140VJW5;P14868
NP_004037.1,"ATP synthase subunit alpha, mitochondrial isoform a precursor",P25705;V9HW26
NP_001688.1,"ATP synthase subunit O, mitochondrial precursor",P48047
NP_001087.2,ATP-citrate synthase isoform 1,A0A024R1T9;P53396
NP_001348.2,ATP-dependent RNA helicase A,B3KU66;Q08211
NP_004930.1,ATP-dependent RNA helicase DDX1,A3RJH1;Q92499
NP_001347.3,ATP-dependent RNA helicase DDX3X isoform 1,O00571
NP_004437.2,bifunctional glutamate/proline--tRNA ligase,P07814
NP_004332.2,CAD protein isoform 1,P27708
NP_005889.3,caprin-1 isoform 1,Q14444
NP_006310.1,CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform 1,A8K3L7;O14735
NP_001244.1,cell division cycle 5-like protein,Q99459
NP_004850.1,clathrin heavy chain 1 isoform 1,Q00610
NP_037423.2,cleavage and polyadenylation specificity factor subunit 1,Q10570
NP_008937.1,cleavage and polyadenylation specificity factor subunit 5,A0A024R6W2;O43809
NP_079087.3,cleavage and polyadenylation specificity factor subunit 7 isoform 1,Q8N684
NP_004362.2,coatomer subunit alpha isoform 2,P53621
NP_057141.1,coatomer subunit zeta-1 isoform 1,A0A024RB72;P61923
NP_003900.1,copine-3,A0A024R994;O75131
NP_002851.2,delta-1-pyrroline-5-carboxylate synthase isoform 1,P54886
NP_004138.1,developmentally-regulated GTP-binding protein 1,Q9Y295
NP_005907.3,DNA replication licensing factor MCM7 isoform 1,A0A0S2Z4A5;C6EMX8;P33993
NP_008835.5,DNA-dependent protein kinase catalytic subunit isoform 1,P78527
NP_005207.2,dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit precursor,A0A024RAD5;P39656
NP_002941.1,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 precursor,P04843
NP_004593.2,double-stranded RNA-binding protein Staufen homolog 1 isoform a,B3KRE0;O95793
NP_001102.2,double-stranded RNA-specific adenosine deaminase isoform a,P55265
NP_004936.2,dynamin-2 isoform 3,P50570
NP_062538.5,E3 ubiquitin-protein ligase BRE1A,Q5VTR2
NP_001410.2,ELAV-like protein 1,Q15717
NP_001976.1,electron transfer flavoprotein subunit beta isoform 1,P38117
NP_001393.1,elongation factor 1-alpha 1,P68104;Q6IPS9
NP_115754.3,elongation factor 1-delta isoform 1,B2RAR6;D3DWK1;P29692
NP_001395.1,elongation factor 1-gamma,P26641;Q53YD7
NP_001407.1,eukaryotic initiation factor 4A-I isoform 1,P60842
NP_055555.1,eukaryotic initiation factor 4A-III,A0A024R8W0;P38919
NP_003741.1,eukaryotic translation initiation factor 3 subunit A,Q14152
NP_003744.1,eukaryotic translation initiation factor 3 subunit D,O15371
NP_001559.1,eukaryotic translation initiation factor 3 subunit E,P60228
NP_003676.2,far upstream element-binding protein 2,Q92945
NP_004095.4,fatty acid synthase,P49327
NP_002037.2,glyceraldehyde-3-phosphate dehydrogenase isoform 1,P04406;V9HVZ4
NP_002854.3,"glycogen phosphorylase, liver form isoform 1",P06737
NP_006316.1,GTP-binding nuclear protein Ran isoform 1,P62826
NP_002060.4,guanine nucleotide-binding protein G(i) subunit alpha-1 isoform 1,P63096
NP_002061.1,guanine nucleotide-binding protein G(i) subunit alpha-2 isoform 1,B3KP24;P04899
NP_006487.1,guanine nucleotide-binding protein G(k) subunit alpha,P08754
NP_005336.3,heat shock 70 kDa protein 1A,B3KTT5;A8K5I0;P0DMV8;P0DMV9
NP_005337.2,heat shock 70 kDa protein 1B,A8K5I0;P0DMV8;P0DMV9
NP_005518.3,heat shock 70 kDa protein 1-like,A0A1U9X7W7;P34931
NP_006588.1,heat shock cognate 71 kDa protein isoform 1,P11142;Q53HF2;V9HW22
NP_004490.2,heterogeneous nuclear ribonucleoprotein A/B isoform b,Q99729
NP_006796.1,heterogeneous nuclear ribonucleoprotein A0,Q13151
NP_002127.1,heterogeneous nuclear ribonucleoprotein A1 isoform a,A0A024RB53;P09651
NP_919223.1,heterogeneous nuclear ribonucleoprotein A3 isoform a,P51991
NP_002129.2,heterogeneous nuclear ribonucleoprotein D0 isoform c,A0A024RDF4;Q14103
NP_004957.1,heterogeneous nuclear ribonucleoprotein F,A0A024R7T3;P52597
NP_005511.1,heterogeneous nuclear ribonucleoprotein H,P31943
NP_062543.1,heterogeneous nuclear ribonucleoprotein H2,P55795
NP_036339.1,heterogeneous nuclear ribonucleoprotein H3 isoform a,A0A024QZK8;P31942;Q53F48
NP_002131.2,heterogeneous nuclear ribonucleoprotein K isoform a,P61978
NP_005959.2,heterogeneous nuclear ribonucleoprotein M isoform a,P52272
NP_006363.4,heterogeneous nuclear ribonucleoprotein Q isoform 1,O60506
NP_005817.1,heterogeneous nuclear ribonucleoprotein R isoform 2,O43390
NP_004492.2,heterogeneous nuclear ribonucleoprotein U isoform b,Q00839
NP_002128.1,heterogeneous nuclear ribonucleoproteins A2/B1 isoform A2,P22626
NP_004491.2,heterogeneous nuclear ribonucleoproteins C1/C2 isoform b,P07910
NP_005507.3,"HLA class I histocompatibility antigen, alpha chain E precursor",A8K8M6;O19682;P13747;Q6DU44
NP_061823.2,"HLA class I histocompatibility antigen, alpha chain F isoform 2 precursor",P30511;Q5JZ47
NP_002118.1,"HLA class I histocompatibility antigen, alpha chain G precursor",P17693;Q6DU14
NP_002108.4,"HLA class I histocompatibility antigen, Cw-1 alpha chain precursor",P10321;Q6R739;Q95HC2
NP_002256.2,importin subunit beta-1 isoform 1,Q14974
NP_006382.1,importin-7,B3KNG9;O95373
NP_006537.3,insulin-like growth factor 2 mRNA-binding protein 1 isoform 1,Q9NZI8
NP_006538.2,insulin-like growth factor 2 mRNA-binding protein 3,O00425
NP_004506.2,interleukin enhancer-binding factor 2 isoform 1,F4ZW62;Q12905;Q53FG3
NP_004507.2,interleukin enhancer-binding factor 3 isoform b,Q12906
NP_005521.1,isocitrate dehydrogenase,P50213
NP_002152.2,"isoleucine--tRNA ligase, cytoplasmic",P41252;Q6P0M4;Q7L4K8
NP_008974.5,KRR1 small subunit processome component homolog,Q13601
NP_573566.2,"leucine-rich PPR motif-containing protein, mitochondrial precursor",E5KNY5;P42704
NP_060979.2,leucine-rich repeat-containing protein 59,Q96AG4
NP_064502.9,"leucine--tRNA ligase, cytoplasmic isoform 1",Q9P2J5
NP_005557.1,L-lactate dehydrogenase A chain isoform 1,P00338;V9HWB9
NP_004448.2,long-chain-fatty-acid--CoA ligase 3,A0A024R497;B3KMA6;O95573
NP_000230.1,lysozyme C precursor,B2R4C5;P61626
NP_006293.2,mannosyl-oligosaccharide glucosidase isoform 1,Q13724
NP_061322.2,matrin-3 isoform a,A0A0R4J2E8;P43243;Q9H4N1
NP_003553.2,mitochondrial 2-oxoglutarate/malate carrier protein isoform 1,Q02978;Q6IBH0
NP_055335.2,myb-binding protein 1A isoform 2,Q9BQG0
NP_060014.2,NF-kappa-B-repressing factor isoform 2,A3F769;O15226
NP_031389.3,non-POU domain-containing octamer-binding protein isoform 1,A0A0S2Z4Z9;Q15233
NP_004550.2,nuclease-sensitive element-binding protein 1,P67809
NP_004719.2,nucleolar RNA helicase 2 isoform 1,Q9NR30
NP_005372.2,nucleolin,A0A024R4A0;B3KM80;P19338
NP_002511.1,nucleophosmin isoform 1,A0A0S2Z491;P06748
NP_000265.1,"ornithine aminotransferase, mitochondrial isoform 1 precursor",A0A140VJQ4;P04181
NP_060422.4,"pentatricopeptide repeat domain-containing protein 3, mitochondrial precursor",Q96EY7
NP_004896.1,peroxiredoxin-6,P30041;V9HWC7
NP_000405.1,peroxisomal multifunctional enzyme type 2 isoform 2,A0A0S2Z4J1;B2R659;P51659
NP_055569.1,phosphatidylserine synthase 1 isoform 1,P48651
NP_005023.2,plastin-3 isoform 1,P13797
NP_002559.2,polyadenylate-binding protein 1,A0A024R9C1;P11940
NP_004634.1,polyadenylate-binding protein 2,Q86U42
NP_003810.1,polyadenylate-binding protein 4 isoform 2,Q13310
NP_112179.2,pre-mRNA 3'-end-processing factor FIP1 isoform 1,Q6UN15
NP_060362.3,pre-mRNA-processing factor 40 homolog A,O75400;Q05C41
NP_006436.3,pre-mRNA-processing-splicing factor 8,Q6P2Q9
NP_001349.2,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,O43143
NP_006377.2,probable ATP-dependent RNA helicase DDX17 isoform 1,Q92841
NP_004809.2,probable ATP-dependent RNA helicase DDX23,A0A024R0Z3;B3KY11;Q9BUQ8
NP_060365.7,probable ATP-dependent RNA helicase DDX27 isoform 2,Q96GQ7
NP_004387.1,probable ATP-dependent RNA helicase DDX5 isoform a,P17844
NP_002625.1,prohibitin isoform 1,A8K401;P35232;Q53FV0
NP_001138303.1,prohibitin-2 isoform 1,Q99623
NP_037468.1,protein transport protein Sec61 subunit alpha isoform 1,B3KME8;B3KNF6;P61619
NP_055781.2,putative ATP-dependent RNA helicase DHX30 isoform 2,Q7L2E3
NP_066014.1,putative helicase MOV-10 isoform 1,Q9HCE1
NP_057103.2,putative RNA-binding protein Luc7-like 2 isoform 1,Q9Y383
NP_000916.2,"pyruvate dehydrogenase E1 component subunit beta, mitochondrial isoform 1 precursor",P11177
NP_002645.3,pyruvate kinase PKM isoform a,P14618;V9HWB8
NP_003861.1,ras GTPase-activating-like protein IQGAP1,A0A024RC65;P46940
NP_006561.1,ras-related GTP-binding protein A,Q7L523
NP_057215.3,ras-related protein Rab-10,P61026
NP_004574.2,ras-related protein Rab-5C isoform a,A0A024R1U4;P51148
NP_005361.2,ras-related protein Rab-8A,A0A024R7I3;P61006
NP_006089.1,receptor of activated protein C kinase 1,E9KL35;P63244
NP_002902.2,regulator of nonsense transcripts 1 isoform 2,A0A024R7L5;Q92900
NP_075386.1,regulator of nonsense transcripts 3B isoform 2,Q9BZI7
NP_597709.2,ribonucleoprotein PTB-binding 1,E9PAU2;Q8IY67
NP_002130.2,"RNA-binding motif protein, X chromosome isoform 1",P38159
NP_002958.2,scaffold attachment factor B1 isoform 3,Q15424
NP_008855.1,serine/arginine-rich splicing factor 1 isoform 1,Q07955
NP_006616.1,serine/arginine-rich splicing factor 10 isoform 1,O75494
NP_005617.2,serine/arginine-rich splicing factor 4,Q08170
NP_001026854.1,serine/arginine-rich splicing factor 7 isoform 1,Q16629
NP_001226.2,serpin H1 precursor,A0A024R5K8;P50454
NP_073591.2,sideroflexin-1 isoform 1,Q9H9B4
NP_067026.3,signal recognition particle receptor subunit beta,Q549N5;Q9Y5M8
