Proteome ID,Organism,Organism ID,Protein count
UP000000825,Tomato torrado virus (isolate Solanum lycopersicum/Spain/PRIToTV0301/-) (ToTV),686948,3
UP000002473,Lassa virus (strain Mouse/Sierra Leone/Josiah/1976) (LASV),11622,4
UP000009060,European elk papillomavirus (EEPV),10565,15
UP000007049,Sapporo virus (isolate GI/Human/Germany/pJG-Sap01) (Hu/Dresden/pJG-Sap01/DE),291175,3
UP000178370,Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36,1798482,896
UP000008718,Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4),694427,3020
UP000007350,Trypanosoma cruzi marinkellei,85056,10052
UP000177074,Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12,1797906,3029
UP000177777,Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_FULL_41_18,1801754,625
UP000178630,Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31,1801944,4653
UP000176925,Sulfurimonas sp. RIFCSPLOWO2_12_36_12,1802253,2139
UP000007254,Spirochaeta thermophila (strain ATCC 700085 / DSM 6578 / Z-1203),869211,2249
UP000001436,Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum),267608,5002
UP000178497,Lentisphaerae bacterium GWF2_50_93,1798574,5068
UP000177140,Candidatus Vogelbacteria bacterium RIFOXYD2_FULL_44_9,1802441,439
UP000178869,Candidatus Terrybacteria bacterium RIFCSPHIGHO2_01_FULL_43_35,1802361,795
UP000180301,Gallionellales bacterium RIFCSPLOWO2_02_60_31,1798253,1182
UP000177061,Candidatus Portnoybacteria bacterium RIFCSPHIGHO2_12_FULL_38_9,1801997,692
UP000178349,Candidatus Magasanikbacteria bacterium RIFOXYC12_FULL_33_11,1798701,672
UP000006823,Trichinella spiralis (Trichina worm),6334,16041
UP000007237,Saccharomyces cerevisiae (strain FostersO) (Baker's yeast),764101,3560
UP000179279,Candidatus Woykebacteria bacterium RIFCSPLOWO2_01_FULL_41_12,1802604,458
UP000009323,Lactococcus raffinolactis 4877,1215915,2346
UP000007493,Pseudomonas phage phi15,988656,50
UP000009319,Rhizobium mesoamericanum STM3625,1211777,6358
UP000002493,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),223926,4821
UP000178734,Bacteroidetes bacterium RIFCSPHIGHO2_02_FULL_44_7,1797361,2809
UP000177230,Candidatus Edwardsbacteria bacterium GWF2_54_11,1817851,2330
UP000009242,Novosphingobium sp. PP1Y,702113,4624
UP000009224,Mycobacterium sinense (strain JDM601),875328,4332
UP000010294,Enhydrobacter aerosaccus SK60,553217,2573
UP000010111,Megasphaera elsdenii DSM 20460,1064535,2194
UP000001291,Pseudomonas phage phiPto-bp6g,1080237,68
UP000015346,Rubellimicrobium thermophilum DSM 16684,1123069,3244
UP000008805,Gordonibacter pamelaeae 7-10-1-b,657308,2027
UP000006054,Bernardetia litoralis (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Sio-4) (Flexibacter litoralis),880071,3832
UP000002366,Aminobacterium colombiense (strain DSM 12261 / ALA-1),572547,1872
UP000003058,Thiorhodospira sibirica ATCC 700588,765914,2933
UP000008181,Thielavia terrestris (strain ATCC 38088 / NRRL 8126) (Acremonium alabamense),578455,9760
UP000001424,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757),243365,4397
UP000010420,Clostridium celatum DSM 1785,545697,3453
UP000001058,Volvox carteri f. nagariensis,3068,14335
UP000008864,Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus),559305,10005
UP000000590,Methanococcus maripaludis (strain S2 / LL),267377,1722
UP000027222,Galerina marginata CBS 339.88,685588,21357
UP000010467,Deinococcus peraridilitoris (strain DSM 19664 / LMG 22246 / CIP 109416 / KR-200),937777,4164
UP000010469,Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / IC-154),1056495,1477
UP000051549,candidate division BRC1 bacterium SM23_51,1703761,2062
UP000044136,Jeotgalicoccus saudimassiliensis,1461582,2181
UP000011058,Fibrella aestuarina BUZ 2,1166018,5627
UP000000489,Enterobacteria phage K30,1041524,49
UP000001636,Arthromitus sp. (strain SFB-mouse-Japan),1029718,1487
UP000006820,Nocardia farcinica (strain IFM 10152),247156,5941
UP000004664,Methylobacter tundripaludum (strain ATCC BAA-1195 / SV96),697282,4194
UP000009273,Bacillus virus G,1084719,675
UP000008847,Escherichia phage HK639,906669,76
UP000033684,Methylococcaceae bacterium Sn10-6,1632867,2947
UP000007041,Acetoanaerobium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / NCIMB 10654) (Clostridium sticklandii),499177,2572
UP000178396,Caulobacterales bacterium RIFCSPHIGHO2_12_FULL_68_13,1797586,1906
UP000011220,Clostridium stercorarium subsp. stercorarium (strain ATCC 35414 / DSM 8532 / NCIMB 11754),1121335,2669
UP000176366,Corynebacterium sp. HMSC08F01,1581139,2135
UP000183500,Candidatus Moranbacteria bacterium CG2_30_45_14,1805255,683
UP000007844,Desulfovibrio africanus str. Walvis Bay,690850,3699
UP000007325,Brucella phage Pr,1133293,57
UP000007550,Torque teno virus (isolate Human/Ghana/GH1/1996) (TTV),487067,3
UP000002632,Klebsiella phage KP32,674082,44
UP000002092,Enterobacteria phage T3 (Bacteriophage T3),10759,55
UP000011740,Streptomyces mobaraensis NBRC 13819 = DSM 40847,1223523,6422
UP000001931,Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3),339860,1533
UP000007178,Cyanophage S-TIM5,1137745,180
UP000000965,Lactobacillus phage phig1e,52979,50
UP000019741,Vibrio phage Vc1,1480731,44
UP000006567,Bovine papillomavirus type 1,10559,9
UP000011919,Bhargavaea cecembensis DSE10,1235279,3168
UP000002440,Methylobacillus flagellatus (strain KT / ATCC 51484 / DSM 6875),265072,2609
UP000029682,Lactococcus phage phi145,1527692,55
UP000001975,Haloquadratum walsbyi (strain DSM 16790 / HBSQ001),362976,2551
UP000012028,Rhodopirellula sp. SWK7,595460,7238
UP000001955,Shimwellia blattae (strain ATCC 29907 / DSM 4481 / JCM 1650 / NBRC 105725 / CDC 9005-74) (Escherichia blattae),630626,3870
UP000028725,Hyalangium minutum,394096,8967
UP000164522,Influenza A virus (A/American green-winged teal/Wisconsin/13OS3465/2013(H6N8)),1473440,2
UP000002820,Persicivirga phage P12024S,1168478,59
UP000000362,Leuconostoc mesenteroides subsp. mesenteroides (strain ATCC 8293 / NCDO 523),203120,2002
UP000114612,Fowl aviadenovirus 5,172861,39
UP000004218,Corynebacterium matruchotii ATCC 14266,553207,2619
UP000112710,Human papillomavirus type 48,40538,7
UP000000663,Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50),351160,3071
UP000164702,Heliothis armigera cypovirus 5,332585,10
UP000000639,Psychromonas ingrahamii (strain 37),357804,3530
UP000003680,Peptoniphilus sp. oral taxon 375 str. F0436,879308,2117
UP000184050,Tangfeifania diversioriginum,1168035,4103
UP000101879,Wongabel hapavirus,1972626,10
UP000078201,Anopheles stephensi (Indo-Pakistan malaria mosquito),30069,22855
UP000000272,Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P),555079,2151
UP000184184,Gracilibacillus kekensis,1027249,3690
UP000179085,Syntrophus sp. GWC2_56_31,1802291,1894
UP000003217,Streptococcus pseudoporcinus LQ 940-04,875093,2026
UP000003226,Rhodanobacter spathiphylli B39,1163407,3438
UP000027725,Thioclava dalianensis,1185766,4007
UP000018628,Mycobacterium phage Jovo,1429912,84
UP000004947,Lentisphaera araneosa HTCC2155,313628,4982
UP000023703,Corynebacterium glyciniphilum AJ 3170,1404245,3270
UP000009012,Burkholderia phage AH2,1133022,78
UP000002415,Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1),381764,1725
UP000008264,Turnip vein-clearing virus (TVCV),29272,3
UP000002452,Stenotrophomonas phage S1,573591,48
UP000000984,Staphylococcus phage 53,320835,79
UP000161194,Lymphocytic choriomeningitis mammarenavirus,11623,4
UP000002016,Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) (Thermotoga lettingae),416591,2040
UP000001858,Burkholderia phage KS10,557289,49
UP000001759,Lactobacillus prophage Lj965,139870,46
UP000004291,Hoeflea phototrophica (strain DSM 17068 / NCIMB 14078 / DFL-43),411684,4185
UP000119980,Human gemycircularvirus GeTz1,1792832,3
UP000001695,Beijerinckia indica subsp. indica (strain ATCC 9039 / DSM 1715 / NCIB 8712),395963,3774
UP000000788,Prochlorococcus marinus (strain MIT 9211),93059,1855
UP000000787,Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785),316274,5254
UP000004282,Rheinheimera sp. A13L,506534,3941
UP000054200,Nitrosopumilus sp. PRT-SC01,1527301,709
UP000053902,Pseudomonas saudiphocaensis,1499686,3411
UP000051455,Sphingomonas sp. Leaf33,1736215,2982
UP000019120,Mycobacterium phage MichelleMyBell,1445726,70
UP000014108,Oscillibacter sp. 1-3,1235797,4209
UP000034960,Corynebacterium xerosis,1725,1843
UP000053033,Halothiobacillus sp. XI15,1766620,2012
UP000029524,Rhodovulum sp. NI22,1469613,3439
UP000019498,Mycobacterium phage Alsfro,1458724,98
UP000014417,Propionimicrobium lymphophilum ACS-093-V-SCH5,883161,2076
UP000006829,Listeria phage P35,330398,56
UP000005230,Pectobacterium phage ZF40,1127516,68
UP000004777,Frankia sp. EUN1f,102897,8160
UP000030218,Pseudomonas phage vB_PaeM_PAO1_Ab04,1548909,36
UP000182643,Armatimonadetes bacterium CG2_30_66_41,1805028,6225
UP000001727,Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109),504474,2011
UP000001729,Rhizobium phage 16-3 (Bacteriophage 16-3),10704,110
UP000094936,Enterovibrio pacificus,1080227,4376
UP000095658,Domibacillus iocasae,1714016,3405
UP000151502,Circoviridae 7 LDMD-2013,1379711,5
UP000014984,Spiroplasma taiwanense CT-1,1276220,989
UP000018044,Firmicutes bacterium CAG:145,1263005,1960
UP000005159,Vibrio sp. AND4,314289,3926
UP000000740,Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34),416348,3495
UP000029322,actinobacterium acAMD-5,1504319,1259
UP000005387,Paenibacillus curdlanolyticus YK9,717606,4803
UP000008038,Providencia phage Redjac,1235559,41
UP000027480,Klebsiella phage NTUH-K2044-K1-1,1194091,35
UP000096681,Avian paramyxovirus 8,623144,8
UP000015423,Streptomyces collinus (strain DSM 40733 / Tu 365),1214242,6682
UP000000479,Streptococcus phage phiNJ2,1239381,55
UP000029881,Mycobacterium phage SweetiePie,1555235,95
UP000017661,Bacillus phage vB_BanS-Tsamsa,1308863,272
UP000015527,Novosphingobium lindaniclasticum LE124,1096930,4481
UP000005947,Atopobium vaginae DSM 15829,525256,1243
UP000123387,Bat adenovirus TJM,727977,30
UP000000957,Staphylococcus phage P954,668618,69
UP000120805,Thiafora nairovirus,248061,3
UP000111445,Gyrovirus Tu789,1415628,3
UP000002938,Turicibacter sanguinis PC909,702450,2779
UP000016023,Prevotella micans F0438,883158,2058
UP000005837,Eikenella corrodens ATCC 23834,546274,2627
UP000032760,Hanseniaspora uvarum DSM 2768,1246595,3010
UP000001987,Aeromonas virus phiO18P,393598,45
UP000016848,Rhodobacteraceae bacterium HIMB11,1366046,3183
UP000125898,Marine snail associated circular virus,1692255,2
UP000016929,Fusarium oxysporum f. sp. cubense (strain race 4) (Panama disease fungus),1229665,14157
UP000183708,Betaproteobacteria bacterium CG2_30_59_46,1805050,2072
UP000094652,Clostridium taeniosporum,394958,2938
UP000183472,Parcubacteria group bacterium CG1_02_36_42,1805301,402
UP000184078,Rhodanobacter sp. OK091,1881037,3815
UP000001683,Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF),457570,2847
UP000184539,Cellulomonas sp. 73-92,1895740,3381
UP000003813,Opitutaceae bacterium TAV5,794903,6011
UP000017242,Hymenolepis microstoma (Rodent tapeworm) (Rodentolepis microstoma),85433,12000
UP000183121,Candidatus Peregrinibacteria bacterium CG1_02_54_53,1805323,1253
UP000182906,Bdellovibrionales bacterium RIFOXYA1_FULL_36_14,1797391,1765
UP000000306,Saccharomyces cerevisiae (strain AWRI796) (Baker's yeast),764097,3760
UP000182940,Candidatus Peribacteria bacterium RIFCSPLOWO2_12_FULL_55_15,1801931,842
UP000182718,Comamonadaceae bacterium CG1_02_60_18,1805088,2806
UP000017415,Enterococcus cecorum DSM 20682 = ATCC 43198,1121864,2361
UP000182302,Alphaproteobacteria bacterium CG1_02_46_17,1803508,1983
UP000004069,Lactobacillus amylolyticus DSM 11664,585524,1684
UP000038020,Brugia pahangi (Filarial nematode worm),6280,14625
UP000017651,Clavibacter phage CN1A,1406793,78
UP000001610,Cordyceps militaris (strain CM01) (Caterpillar fungus),983644,9651
UP000070700,Phialocephala scopiformis,149040,18561
UP000004162,Chlorobium ferrooxidans DSM 13031,377431,2158
UP000029085,Arenimonas donghaensis DSM 18148 = HO3-R19,1121014,2685
UP000017746,Actinoplanes friuliensis DSM 7358,1246995,8558
UP000004504,Eubacterium infirmum F0142,883109,1765
UP000016801,Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum),1111077,8814
UP000017805,Bacillus infantis NRRL B-14911,1367477,5066
UP000029736,Phaeodactylibacter xiamenensis,1524460,5064
UP000178735,Candidatus Wallbacteria bacterium GWC2_49_35,1817813,2551
UP000001891,Escherichia phage K1-dep(4),698486,52
UP000017765,Streptomyces sp. PVA 94-07,1223307,5894
UP000077315,Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555),763407,16155
UP000017996,Eubacterium sp. CAG:202,1262884,1817
UP000053257,Phlebiopsis gigantea 11061_1 CR5-6,745531,11848
UP000017842,Methyloglobulus morosus KoM1,1116472,3732
UP000176504,candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_41_18,1802625,978
UP000018038,Firmicutes bacterium CAG:791,1262993,2175
UP000005707,Haloplasma contractile SSD-17B,1033810,3019
UP000018047,Clostridium sp. CAG:226,1262781,2034
UP000050787,Onchocerca flexuosa,387005,16108
UP000018059,Ruminococcus obeum CAG:39,1263107,2346
UP000018063,Bacteroides sp. CAG:462,1262740,2834
UP000018067,Clostridium sp. CAG:440,1262807,1420
UP000177382,Candidatus Woesebacteria bacterium RBG_16_42_24,1802485,893
UP000177644,Deltaproteobacteria bacterium RBG_19FT_COMBO_60_16,1797855,933
UP000183832,Clunio marinus,568069,22544
UP000018082,Ruminococcus sp. CAG:563,1262961,2054
UP000177114,Deltaproteobacteria bacterium RBG_16_54_18,1797843,1421
UP000177396,Candidatus Gottesmanbacteria bacterium RBG_16_38_7b,1798372,855
UP000177383,Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_01_FULL_39_10,1798375,1285
UP000178812,Candidatus Woesebacteria bacterium GWB1_43_5,1802474,407
UP000018109,Dorea formicigenerans CAG:28,1263073,2461
UP000018166,Ruminococcus sp. CAG:382,1262957,1853
UP000018174,Mycoplasma sp. CAG:776,1262906,1349
UP000018181,Ruminococcus sp. CAG:254,1262953,1961
UP000176678,Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_51_9,1802410,529
UP000176844,Microgenomates group bacterium RBG_19FT_COMBO_39_10,1817748,510
UP000018202,Thermoplasmatales archaeon Gpl,261391,1917
UP000018312,Eubacterium sp. CAG:603,1262891,2287
UP000178814,Burkholderiales bacterium RIFCSPLOWO2_12_FULL_64_99,1797568,3624
UP000177626,Candidatus Komeilibacteria bacterium RIFOXYC1_FULL_37_11,1798555,837
UP000178184,Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_33_17,1801764,565
UP000018343,Prevotella sp. CAG:592,1262931,2159
UP000018347,Veillonella sp. CAG:933,1262980,2777
UP000179173,Deltaproteobacteria bacterium RBG_13_43_22,1797825,2888
UP000018378,Roseburia sp. CAG:50,1262949,2482
UP000178836,Candidatus Aminicenantes bacterium RBG_13_62_12,1797269,1473
UP000176726,Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_63_240,1797552,3505
UP000176462,Deltaproteobacteria bacterium RBG_13_61_14,1797834,3571
UP000018392,Bacteroides sp. CAG:530,1262741,2669
UP000018403,Firmicutes bacterium CAG:552,1263029,1175
UP000018407,Parabacteroides merdae CAG:48,1263094,2964
UP000177740,Candidatus Nealsonbacteria bacterium RIFOXYB1_FULL_40_15,1801677,792
UP000018439,Bacteroides coprosuis DSM 18011,679937,2385
UP000028939,Corynebacterium ureicelerivorans,401472,1837
UP000134372,Retroperitoneal fibromatosis-associated herpesvirus,111469,82
UP000018580,Enterococcus mundtii QU 25,1300150,3162
UP000050790,Schistosoma margrebowiei,48269,26083
UP000094615,Niastella sp. SCN 39-18,1660119,2771
UP000003422,Peptoniphilus indolicus ATCC 29427,997350,2269
UP000027381,Rhizobium phage vB_RleM_PPF1,1498228,94
UP000003610,Prevotella disiens FB035-09AN,866771,2556
UP000018769,Candidatus Babela massiliensis,673862,981
UP000075809,Trachymyrmex zeteki,64791,14302
UP000016601,Oscillibacter sp. KLE 1745,1226323,4287
UP000018851,Sphingomonas sanxanigenens DSM 19645 = NX02,1123269,6101
UP000008792,Drosophila virilis (Fruit fly),7244,18317
UP000093355,Microbacterium sediminis,904291,2529
UP000003645,Lactobacillus mucosae LM1,1130798,1970
UP000003649,Mycoplasma iowae 695,1048830,981
UP000003656,Bifidobacterium gallicum DSM 20093 = LMG 11596,561180,1917
UP000001304,Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1),583356,1929
UP000024210,Sphingomonas sp. RIT328,1470591,3964
UP000070156,Candidatus Adiutrix intracellularis,1705730,1282
UP000019113,Halomonas huangheensis,1178482,4209
UP000019140,Candidatus Entotheonella sp. TSY2,1429439,8989
UP000002007,Renibacterium salmoninarum (strain ATCC 33209 / DSM 20767 / JCM 11484 / NBRC 15589 / NCIMB 2235),288705,3421
UP000177307,Tenericutes bacterium GWD2_38_27,1802348,1082
UP000007803,Sulfurimonas autotrophica (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10),563040,2155
UP000172995,Trichodysplasia spinulosa-associated polyomavirus,862909,6
UP000000985,Staphylococcus phage 47,320839,72
UP000019197,Xenorhabdus cabanillasii JM26,1427517,4375
UP000035680,Strongyloides venezuelensis,75913,16624
UP000128597,Seal anellovirus 3,1427156,3
UP000019202,Xenorhabdus szentirmaii DSM 16338,1427518,4565
UP000170379,Human papillomavirus type 163,1315262,6
UP000019225,Kutzneria albida DSM 43870,1449976,8775
UP000116133,Cedar virus,1221391,7
UP000019229,Mycoplasma bovoculi M165/69,743966,579
UP000078200,Glossina austeni (Savannah tsetse fly),7395,19668
UP000154120,Circovirus-like genome DCCV-9,1788449,3
UP000006681,Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017),572478,2493
UP000019247,Lactobacillus fabifermentans T30PCM01,1400520,3305
UP000000330,Acinetobacter virus 133,279006,257
UP000009109,Human papillomavirus type 18,333761,9
UP000002091,Listeria phage PSA,171618,59
UP000019325,Nodularia spumigena CCY9414,313624,5211
UP000019364,Paenibacillus pini JCM 16418,1236976,4874
UP000001523,Salmonella phage SE1,329864,67
UP000019375,Zygosaccharomyces bailii (strain CLIB 213 / ATCC 58445 / CBS 680 / CCRC 21525 / NBRC 1098 / NCYC 1416 / NRRL Y-2227),1333698,4722
UP000019464,Nitrincola nitratireducens,1229521,4019
UP000019496,Vibrio phage CHOED,1458716,91
UP000019473,Cladophialophora yegresii CBS 114405,1182544,10118
UP000007087,Mycobacterium phage Phlyer,591487,103
UP000019482,Clostridium tyrobutyricum DIVETGP,1408889,3032
UP000018882,Klebsiella phage F19,1416011,51
UP000019751,Campylobacter phage CJIE4-3,1470460,58
UP000070627,Chlorobi bacterium OLB7,1619898,3428
UP000001905,Enterococcus phage phiFL2A,673835,63
UP000006036,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,537971,2315
UP000019305,Erwinia phage Ea9-2,1429767,94
UP000027393,Acinetobacter phage YMC-13-01-C62,1505225,84
UP000003987,Lactobacillus coleohominis 101-4-CHN,575594,1652
UP000078582,Lactobacillus backii,375175,2375
UP000077323,Oceanibulbus sp. HI0023,1822225,3900
UP000077115,Batrachochytrium dendrobatidis JEL423,403673,9531
UP000011861,Bacillus phage PM1,547228,86
UP000092703,Lachnoclostridium sp. YL32,1834196,6072
UP000075475,Euryarchaeota archaeon SM23-78,1803821,1509
UP000004685,Bacteroidetes oral taxon 274 str. F0058,575590,1854
UP000070562,Microgenomates bacterium OLB22,1617428,1148
UP000007763,Cestrum yellow leaf curling virus (CmYLCV),175814,7
UP000070423,Chlorobi bacterium OLB6,1617413,2140
UP000070359,Cycloclasticus sp. Phe_18,1795870,1236
UP000070284,candidate divison MSBL1 archaeon SCGC-AAA259E19,1698264,1417
UP000070184,candidate divison MSBL1 archaeon SCGC-AAA259B11,1698260,852
UP000062973,Amycolatopsis methanolica 239,1068978,7005
UP000004402,Sphingomonas sp. LH128,473781,6177
UP000061305,Sphingopyxis sp. (strain 113P3),292913,4365
UP000005245,Pseudomonas phage YMC/01/01/P52_PAE_BP,1191380,72
UP000054241,Streptomyces cellostaticus,67285,8025
UP000007332,Lactobacillus buchneri CD034,1071400,2369
UP000005408,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,25982
UP000007347,Desulfobacula toluolica (strain DSM 7467 / Tol2),651182,4189
UP000053932,Idiomarinaceae bacterium HL-53,1298881,2550
UP000053694,halophilic archaeon J07HX5,1325472,2128
UP000053570,Candidatus Paraburkholderia calva,242161,2002
UP000053681,Bacillus sp. SGD-V-76,1414648,3896
UP000053258,Manacus vitellinus (golden-collared manakin),328815,12707
UP000053872,Columba livia (Rock dove),8932,3814
UP000051912,Curvibacter sp. PAE-UM,1714344,3353
UP000051789,Lactobacillus thailandensis DSM 22698 = JCM 13996,1423810,1860
UP000053638,Phaethon lepturus (White-tailed tropicbird),97097,9152
UP000051643,Salegentibacter mishustinae,270918,3284
UP000051585,Aureimonas sp. Leaf454,1736381,4218
UP000051463,Loktanella sp. 3ANDIMAR09,1225657,3527
UP000053001,Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor),188344,9574
UP000051256,Lactobacillus senioris DSM 24302 = JCM 17472,1423802,1539
UP000051160,Lactobacillus odoratitofui DSM 19909 = JCM 15043,1423776,2382
UP000050971,Aeromicrobium sp. Root472D3,1736540,3523
UP000049983,Labrenzia alba,311410,6265
UP000049455,Jannaschia seosinensis,313367,3710
UP000044872,Rhodococcus sp. RD6.2,260936,5489
UP000037923,Leptomonas pyrrhocoris,157538,9272
UP000051603,bacterium SM23_57,1703763,1860
UP000037460,Chrysochromulina sp. CCMP291,1460289,16679
UP000037702,Streptomyces sp. NRRL B-3648,1519493,7028
UP000036780,Virgibacillus pantothenticus,1473,3923
UP000036330,Dermacoccus sp. PE3,1641401,2562
UP000035948,Nitrospina sp. SCGC_AAA799_A02,1628278,1139
UP000036045,Bacillus circulans,1397,4949
UP000034945,Candidatus Moranbacteria bacterium GW2011_GWE1_35_17,1618707,1299
UP000034846,Candidatus Uhrbacteria bacterium GW2011_GWD2_52_7,1618989,920
UP000034737,Candidatus Peregrinibacteria bacterium GW2011_GWA2_47_7,1619058,709
UP000034634,candidate division TM6 bacterium GW2011_GWF2_33_332,1619080,1552
UP000034481,Parcubacteria group bacterium GW2011_GWB1_37_13,1618863,506
UP000030004,Pseudooceanicola atlanticus,1461694,4202
UP000061032,Novosphingobium sp. FSW06-99,1739113,4210
UP000067444,Octadecabacter temperatus,1458307,3276
UP000070675,Atopobium deltae,1393034,1442
UP000076923,Polaribacter atrinae,1333662,3258
UP000053537,Acanthisitta chloris (rifleman),57068,9650
UP000050602,Brugia timori,42155,16203
UP000093585,Brevibacillus sp. WF146,319501,3884
UP000001110,Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429),391009,1877
UP000144590,Bovine alphaherpesvirus 1,10320,71
UP000138111,Canid alphaherpesvirus 1,170325,72
UP000175124,Mosquito VEM Anellovirus SDBVL A,1034790,2
UP000002451,Staphylococcus phage Ipla88,575608,60
UP000009248,Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV),262177,152
UP000174597,Human papillomavirus FA75/KI88-03,563190,7
UP000077404,Leptolyngbya valderiana BDU 20041,322866,5400
UP000125118,Human circovirus VS6600022,1525173,4
UP000094340,Novosphingobium sp. SCN 63-17,1660120,5113
UP000095070,Candidatus Thiodiazotropha endoloripes,1818881,4253
UP000155591,Trematomus polyomavirus 1,1631732,4
