yeDUF,Conservation depth,Sc - present,Sc - essential,Sp - present,SP - essential,inference method,Sc proteins/COGs,Sp proteins/COGs,Sc-specific GOSlims,Sc/SP shared GOSlims,Sp-specific GOSlims
PF10361,eukaryotic,,,X,X,EM,,Q10260 (),,,
PF09757,eukaryotic,X,X,X,X,EM,P53973 (COG0123@NOG),P56523 (COG0123@NOG),GO:0003682 (chromatin binding); GO:0016570 (histone modification); GO:0016787 (hydrolase activity),GO:0006325 (chromatin organization),"GO:0006351 (transcription, DNA-templated); GO:0006355 (regulation of transcription, DNA-templated)"
PF08636,eukaryotic,X,X,X,,EM,Q03880 (),Q9P7Y3 (),,,GO:0006461 (protein complex assembly)
PF06777,prokaryotic,X,X,X,X,rule-based/EM,P06839 (COG1199@NOG),P26659 (COG1199@NOG),GO:0003677 (DNA binding); GO:0004386 (helicase activity); GO:0006366 (transcription from RNA polymerase II promoter); GO:0006468 (protein phosphorylation); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity); GO:0043167 (ion binding); GO:0051052 (regulation of DNA metabolic process),,
PF12842,eukaryotic,X,X,X,,EM,P25655 (COG5103@NOG),P87112 (COG5103@NOG),"GO:0005198 (structural molecule activity); GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006354 (DNA-templated transcription, elongation); GO:0006401 (RNA catabolic process); GO:0006417 (regulation of translation); GO:0007124 (pseudohyphal growth); GO:0042221 (response to chemical); GO:0051726 (regulation of cell cycle)",,"GO:0006355 (regulation of transcription, DNA-templated); GO:0016071 (mRNA metabolic process)"
PF01883,prokaryotic,X,X,X,X,rule-based/EM,P38829 (COG5133@NOG),Q9UTL0 (COG5133@NOG),GO:0007059 (chromosome segregation),GO:0051186 (cofactor metabolic process),
PF09324,eukaryotic,X,X,X,X,rule-based/EM,P11075 (COG5307@NOG),Q9P7V5 (COG5307@NOG);Q9UT02 (COG5307@NOG),"GO:0005085 (guanyl-nucleotide exchange factor activity); GO:0005773 (vacuole); GO:0007033 (vacuole organization); GO:0016023 (cytoplasmic, membrane-bounded vesicle); GO:0048193 (Golgi vesicle transport); GO:0070925 (organelle assembly)",,GO:0016192 (vesicle-mediated transport)
PF03928,prokaryotic,X,X,X,X,EM,P38276 (COG4702@NOG),Q9P7D6 (COG4702@NOG),GO:0005737 (cytoplasm),GO:0006605 (protein targeting),GO:0061024 (membrane organization)
PF07955,eukaryotic,X,X,X,X,EM,P36141 (),Q9UTA2,GO:0005739 (mitochondrion); GO:0016491 (oxidoreductase activity),,
PF05832,eukaryotic,X,,X,X,EM,P38962 (),Q9Y7K7 (),,,GO:0016192 (vesicle-mediated transport)
PF09803,eukaryotic,X,X,,,EM,P38958 (),,GO:0016020 (membrane); GO:0051082 (unfolded protein binding); GO:0070271 (protein complex biogenesis),,
PF05620,eukaryotic,X,X,X,X,rule-based/EM,Q99382 (),O14193 (),GO:0005773 (vacuole),GO:0051604 (protein maturation),
PF06102,eukaryotic,X,X,X,X,rule-based/EM,Q12481 (),Q9P6P2 (),GO:0005730 (nucleolus); GO:0006364 (rRNA processing); GO:0009451 (RNA modification); GO:0042274 (ribosomal small subunit biogenesis),,
PF09369,prokaryotic,X,X,X,X,EM,Q05549 (COG1205@NOG),O13983 (COG1205@NOG),GO:0003677 (DNA binding); GO:0004386 (helicase activity); GO:0005634 (nucleus); GO:0006974 (cellular response to DNA damage stimulus); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity),GO:0006281 (DNA repair),
PF09804,eukaryotic,X,X,X,X,EM,P36090 (),O42907 (),,,
PF08226,eukaryotic,X,X,X,X,rule-based/EM,P32521 (),O13736 ();O74423 ();Q10172 (),"GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0005886 (plasma membrane); GO:0006897 (endocytosis); GO:0007010 (cytoskeleton organization); GO:0007114 (cell budding); GO:0016020 (membrane); GO:0030674 (protein binding, bridging); GO:0043167 (ion binding)",,GO:0016192 (vesicle-mediated transport); GO:0030036 (actin cytoskeleton organization)
PF08589,eukaryotic,,,X,X,EM,,O13709 (),,,
PF05700,eukaryotic,,,X,X,rule-based/EM,,Q9USV3 (),,,GO:0016071 (mRNA metabolic process)
PF03657,prokaryotic,X,X,X,X,rule-based/EM,Q08962 (COG1374@NOG),Q1MTQ9 (COG1374@NOG),GO:0003723 (RNA binding); GO:0005634 (nucleus); GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0042255 (ribosome assembly); GO:0042273 (ribosomal large subunit biogenesis); GO:0070925 (organelle assembly),,GO:0042254 (ribosome biogenesis)
PF12720,eukaryotic,,,X,X,rule-based/EM,,Q9USY8,,,
PF04950,eukaryotic,X,X,X,X,EM,Q07381 (COG5177@NOG);Q08965 (COG5192@NOG),O13956 (COG5177@NOG);O94653 (COG5192@NOG),GO:0003723 (RNA binding); GO:0003924 (GTPase activity); GO:0005634 (nucleus); GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0009451 (RNA modification); GO:0016787 (hydrolase activity),,GO:0042254 (ribosome biogenesis)
PF11865,eukaryotic,X,,X,X,EM,P35169 (COG5032@NOG);P32600 (COG5032@NOG),O14356 (COG5032@NOG);Q9Y7K2 (COG5032@NOG),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0005886 (plasma membrane); GO:0006360 (transcription from RNA polymerase I promoter); GO:0006413 (translational initiation); GO:0006468 (protein phosphorylation); GO:0006974 (cellular response to DNA damage stimulus); GO:0007010 (cytoskeleton organization); GO:0016020 (membrane); GO:0016301 (kinase activity); GO:0016740 (transferase activity); GO:0018193 (peptidyl-amino acid modification); GO:0048285 (organelle fission); GO:0051049 (regulation of transport); GO:0051726 (regulation of cell cycle); GO:0071554 (cell wall organization or biogenesis),GO:0006281 (DNA repair),
PF14610,eukaryotic,X,X,X,,EM,P36081 (),Q9USH0;Q9P7K7,,,
PF11861,eukaryotic,X,X,X,X,EM,P25582 (COG0293@NOG),O42832 (COG0293@NOG),GO:0005634 (nucleus); GO:0005730 (nucleolus); GO:0006364 (rRNA processing); GO:0008168 (methyltransferase activity); GO:0009451 (RNA modification); GO:0016740 (transferase activity),,
PF10288,eukaryotic,X,X,X,X,EM,P53923 (),Q9UUC7 (),GO:0001403 (invasive growth in response to glucose limitation); GO:0003723 (RNA binding); GO:0007124 (pseudohyphal growth); GO:0008033 (tRNA processing); GO:0009451 (RNA modification); GO:0016740 (transferase activity); GO:0016779 (nucleotidyltransferase activity),GO:0070647 (protein modification by small protein conjugation or removal),GO:0006399 (tRNA metabolic process)
PF14616,eukaryotic,X,X,X,,EM,P38246 (),O14220 (),GO:0071554 (cell wall organization or biogenesis),,
PF08508,eukaryotic,X,X,X,X,EM,Q06104 (),O14175 (),,,GO:0051604 (protein maturation); GO:0070647 (protein modification by small protein conjugation or removal)
PF14618,eukaryotic,,,X,X,EM,,Q10296 (),,,
PF13959,eukaryotic,X,X,X,,EM,Q03532 (COG0513@NOG);P25808 ();P36120 ();P20448 (COG0513@NOG),Q09916 (COG0513@NOG);O74764 ();Q9UTP9 (COG0513@NOG);O60173 (),GO:0003723 (RNA binding); GO:0004386 (helicase activity); GO:0005730 (nucleolus); GO:0006364 (rRNA processing); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity); GO:0042273 (ribosomal large subunit biogenesis); GO:0042274 (ribosomal small subunit biogenesis),,GO:0042254 (ribosome biogenesis)
PF12074,eukaryotic,X,X,X,X,EM,P33892 (),Q10105 (),GO:0005840 (ribosome); GO:0006417 (regulation of translation); GO:0006979 (response to oxidative stress); GO:0019899 (enzyme binding); GO:0030234 (enzyme regulator activity); GO:0031399 (regulation of protein modification process); GO:0042221 (response to chemical); GO:0042594 (response to starvation),,
PF11968,eukaryotic,X,X,X,,EM,P38278 (),Q9UUH2 (),GO:0005730 (nucleolus); GO:0008168 (methyltransferase activity); GO:0016740 (transferase activity),,
PF04068,prokaryotic,X,X,X,X,EM,Q12094 (COG2042@NOG);Q03195 (COG1245@NOG),O60102 (COG1245@NOG);Q10409 (COG2042@NOG),"GO:0000054 (ribosomal subunit export from nucleus); GO:0003723 (RNA binding); GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0006413 (translational initiation); GO:0006417 (regulation of translation); GO:0008135 (translation factor activity, RNA binding); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity); GO:0042273 (ribosomal large subunit biogenesis); GO:0043167 (ion binding); GO:0051169 (nuclear transport)",,GO:0006913 (nucleocytoplasmic transport)
PF04063,eukaryotic,X,X,X,,EM,P48362 (),Q10498 (),,,
PF07571,eukaryotic,X,,X,X,EM,P53040 (COG5095@NOG),O74462 (COG5095@NOG),GO:0003682 (chromatin binding); GO:0005198 (structural molecule activity); GO:0005634 (nucleus); GO:0006366 (transcription from RNA polymerase II promoter); GO:0008134 (transcription factor binding); GO:0016570 (histone modification); GO:0018193 (peptidyl-amino acid modification); GO:0043543 (protein acylation),GO:0006325 (chromatin organization),"GO:0006355 (regulation of transcription, DNA-templated)"
PF04418,eukaryotic,X,X,X,,EM,Q96VH5 (),Q9HFF0 (),,GO:0007005 (mitochondrion organization),GO:0061024 (membrane organization)
PF04064,eukaryotic,X,,X,X,EM,P48362 (),Q10498 (),,,
PF04768,prokaryotic,X,X,X,X,EM,"P40360 (COG5630@NOG);Q01217 (COG0002@NOG,COG0548@NOG)","O94330 (COG5630@NOG);P31318 (COG0002@NOG,COG0548@NOG)",GO:0016301 (kinase activity); GO:0016491 (oxidoreductase activity); GO:0016740 (transferase activity); GO:0043167 (ion binding),GO:0006520 (cellular amino acid metabolic process),
PF08643,eukaryotic,X,X,X,,EM,P32792 (),Q9URV8 (),GO:0016020 (membrane),,
PF13664,prokaryotic,X,X,,,EM,Q06089 (),,GO:0016020 (membrane),,
PF06862,eukaryotic,X,X,X,X,rule-based/EM,P40498 (),O74974 (),GO:0003723 (RNA binding); GO:0005634 (nucleus); GO:0005730 (nucleolus); GO:0006364 (rRNA processing); GO:0009451 (RNA modification); GO:0019843 (rRNA binding); GO:0042274 (ribosomal small subunit biogenesis),,
PF00892,prokaryotic,X,X,,,EM,P0CE11 (COG5070@NOG);Q04835 (COG0697@NOG);Q08980 (COG0697@NOG),,GO:0006486 (protein glycosylation); GO:0008643 (carbohydrate transport); GO:0016020 (membrane); GO:0022857 (transmembrane transporter activity),,
PF10843,eukaryotic,X,X,,,EM,P40188 ();P40043 (),,GO:0005737 (cytoplasm); GO:0005886 (plasma membrane); GO:0006091 (generation of precursor metabolites and energy); GO:0016020 (membrane),,
PF09736,eukaryotic,X,X,X,X,rule-based/EM,P46947 (),O94417 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006397 (mRNA processing); GO:0008380 (RNA splicing); GO:0015931 (nucleobase-containing compound transport); GO:0051169 (nuclear transport),,GO:0016071 (mRNA metabolic process)
PF01871,prokaryotic,X,,X,X,EM,Q12012 (COG2078@NOG),Q9P6M2 (COG2078@NOG),,,
PF09745,eukaryotic,,,X,X,rule-based/EM,,O14009 (),,,GO:0016071 (mRNA metabolic process)
PF10176,eukaryotic,X,X,X,X,EM,P38356 (),Q9P3T9 (),GO:0005773 (vacuole); GO:0005783 (endoplasmic reticulum); GO:0006605 (protein targeting); GO:0006811 (ion transport); GO:0016020 (membrane); GO:0051603 (proteolysis involved in cellular protein catabolic process),,
PF11001,eukaryotic,X,X,,,EM,Q04608 (),,,,
PF03909,eukaryotic,X,,X,X,EM,P54858 ();P32776 (),O13745 ();O13905 (),GO:0005634 (nucleus); GO:0006281 (DNA repair); GO:0006360 (transcription from RNA polymerase I promoter); GO:0006366 (transcription from RNA polymerase II promoter); GO:0006468 (protein phosphorylation); GO:0006974 (cellular response to DNA damage stimulus); GO:0008289 (lipid binding),,
PF11779,eukaryotic,,,X,X,rule-based/EM,,O42843,,,GO:0006629 (lipid metabolic process)
PF08538,eukaryotic,,,X,X,rule-based/EM,,Q9C0Y8 (),,,
PF00551,prokaryotic,X,,X,X,EM,P32785 (COG0223@NOG);P04161 (COG0299@NOG),Q9UTG6 (COG0223@NOG);Q9UUK7 (COG0299@NOG),GO:0005739 (mitochondrion); GO:0008033 (tRNA processing); GO:0009451 (RNA modification); GO:0016740 (transferase activity),GO:0055086 (nucleobase-containing small molecule metabolic process),GO:0006399 (tRNA metabolic process); GO:1901135 (carbohydrate derivative metabolic process)
PF11875,eukaryotic,,,X,X,EM,,Q9Y7T0 (COG0484@NOG),,,
PF14953,eukaryotic,,,X,X,EM,,O60098,,,
PF12063,eukaryotic,X,X,X,X,rule-based/EM,P53104 (),Q9Y7T4 (),GO:0006468 (protein phosphorylation); GO:0007005 (mitochondrion organization); GO:0007033 (vacuole organization); GO:0016020 (membrane); GO:0016301 (kinase activity); GO:0016740 (transferase activity); GO:0070925 (organelle assembly),GO:0006605 (protein targeting),GO:0006914 (autophagy)
PF12066,eukaryotic,,,X,X,EM,,O94326 (),,,"GO:0006325 (chromatin organization); GO:0006355 (regulation of transcription, DNA-templated)"
PF05254,eukaryotic,X,,X,X,rule-based/EM,O60200 (),Q96VG1 (),GO:0005634 (nucleus); GO:0006605 (protein targeting); GO:0006869 (lipid transport); GO:0007005 (mitochondrion organization),,GO:0006461 (protein complex assembly)
PF03907,eukaryotic,X,X,X,X,EM,P18410 (),Q9USQ0 (),GO:0006470 (protein dephosphorylation); GO:0006629 (lipid metabolic process); GO:0016020 (membrane); GO:0043934 (sporulation),,GO:0030437 (ascospore formation); GO:0061024 (membrane organization)
PF14934,eukaryotic,,,X,X,EM,,C6Y4A4,,,
PF08555,eukaryotic,,,X,X,EM,,Q92363 (),,,
PF01553,prokaryotic,X,,X,X,EM,P32784 (COG0204@NOG);P36148 (COG0204@NOG);P33333 (COG0204@NOG);P38226 (COG0204@NOG);Q06510 ();Q12185 (COG0204@NOG),Q9US27 (COG0204@NOG);O94361 (COG0204@NOG);Q9US20 (COG0204@NOG);Q9P7P0 (COG0204@NOG),GO:0005739 (mitochondrion); GO:0005783 (endoplasmic reticulum); GO:0006091 (generation of precursor metabolites and energy); GO:0006605 (protein targeting); GO:0007005 (mitochondrion organization); GO:0016020 (membrane); GO:0016740 (transferase activity),GO:0006629 (lipid metabolic process),
PF00034,prokaryotic,X,,X,X,rule-based/EM,P00044 (COG3474@NOG);P00045 (COG3474@NOG),P00046 (COG3474@NOG),GO:0043167 (ion binding),GO:0006091 (generation of precursor metabolites and energy),
PF08550,eukaryotic,X,,X,X,EM,P43574 (COG5641@NOG);P34072 ();P38232;Q00816 (),Q10280 (COG5641@NOG);Q9UTM5 ();Q9UTC4 (),"GO:0000988 (transcription factor activity, protein binding); GO:0001071 (nucleic acid binding transcription factor activity); GO:0003677 (DNA binding); GO:0003682 (chromatin binding); GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0005773 (vacuole); GO:0005975 (carbohydrate metabolic process); GO:0006091 (generation of precursor metabolites and energy); GO:0006325 (chromatin organization); GO:0008134 (transcription factor binding); GO:0030234 (enzyme regulator activity); GO:0042221 (response to chemical); GO:0042594 (response to starvation); GO:0043167 (ion binding)",,"GO:0006355 (regulation of transcription, DNA-templated); GO:0030163 (protein catabolic process)"
PF14377,eukaryotic,X,X,X,,EM,Q03280 (COG5021@NOG),O13834 (COG5021@NOG),GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0006997 (nucleus organization); GO:0015931 (nucleobase-containing compound transport); GO:0016740 (transferase activity); GO:0016874 (ligase activity); GO:0048285 (organelle fission); GO:0051169 (nuclear transport),GO:0070647 (protein modification by small protein conjugation or removal),GO:0006913 (nucleocytoplasmic transport)
PF13846,eukaryotic,,,X,X,EM,,O13803 (),,,
PF12519,eukaryotic,X,X,X,X,rule-based/EM,P18409 (),O13814 (),GO:0006869 (lipid transport),GO:0007005 (mitochondrion organization); GO:0055085 (transmembrane transport),GO:0006461 (protein complex assembly); GO:0061024 (membrane organization)
PF09435,eukaryotic,X,,X,X,EM,Q8J0M4 (),O14068 (),,,
PF05768,prokaryotic,X,X,,,EM,Q05530 (COG0526@NOG),,,,
PF12821,prokaryotic,X,X,X,,EM,"P42946 (COG2966@NOG,COG3610@NOG)","P87293 (COG2966@NOG,COG3610@NOG);O14267 (COG2966@NOG,COG3610@NOG)",,,
PF09431,eukaryotic,X,X,X,X,EM,Q12342 (),O74771 (),GO:0005737 (cytoplasm); GO:0006897 (endocytosis); GO:0030427 (site of polarized growth),,GO:0016192 (vesicle-mediated transport); GO:0030036 (actin cytoskeleton organization)
PF02020,eukaryotic,X,,X,X,rule-based/EM,P38431 (COG1601@NOG);P32501 (COG1208@NOG),Q09689 (COG1601@NOG);P56287 (COG1208@NOG),"GO:0003723 (RNA binding); GO:0005085 (guanyl-nucleotide exchange factor activity); GO:0006417 (regulation of translation); GO:0008135 (translation factor activity, RNA binding); GO:0016740 (transferase activity); GO:0016779 (nucleotidyltransferase activity); GO:0030234 (enzyme regulator activity); GO:0042255 (ribosome assembly); GO:0070925 (organelle assembly)",,
PF12054,eukaryotic,X,X,X,X,rule-based/EM,P32333 (),O43065 (),GO:0003677 (DNA binding); GO:0004386 (helicase activity); GO:0005634 (nucleus); GO:0005694 (chromosome); GO:0005739 (mitochondrion); GO:0006360 (transcription from RNA polymerase I promoter); GO:0006364 (rRNA processing); GO:0008134 (transcription factor binding); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity),,"GO:0006351 (transcription, DNA-templated); GO:0006355 (regulation of transcription, DNA-templated)"
PF03733,prokaryotic,X,,X,X,EM,P42839 (COG0387@NOG),Q9P7B3 (COG0387@NOG),GO:0005773 (vacuole); GO:0006811 (ion transport); GO:0016020 (membrane); GO:0022857 (transmembrane transporter activity),,GO:0055085 (transmembrane transport)
PF11326,eukaryotic,X,X,X,,EM,Q04406 (),Q9UTC2 (),GO:0007005 (mitochondrion organization); GO:0043934 (sporulation); GO:0051321 (meiotic cell cycle),,
PF10304,eukaryotic,X,X,,,EM,Q12751 (),,GO:0005737 (cytoplasm); GO:0051169 (nuclear transport),,
PF10303,eukaryotic,X,X,X,X,EM,Q08977 (),Q9P6K3 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm),,
PF07286,prokaryotic,,,X,X,EM,,Q09674 (COG4336@NOG),,,
PF01255,prokaryotic,X,X,X,X,rule-based/EM,P35196 (COG0020@NOG);Q03175 (COG0020@NOG),O14171 (COG0020@NOG),GO:0005783 (endoplasmic reticulum); GO:0016020 (membrane); GO:0016740 (transferase activity); GO:0048193 (Golgi vesicle transport),GO:0006486 (protein glycosylation); GO:0006629 (lipid metabolic process),
PF06127,prokaryotic,X,,X,X,rule-based/EM,P25338 (COG4539@NOG),O13737 (COG4539@NOG),GO:0006629 (lipid metabolic process); GO:0016020 (membrane),,
PF08991,eukaryotic,X,,X,X,EM,Q3E7A9 (),G2TRJ8 (),,,
PF10315,eukaryotic,X,X,X,X,EM,P40502 (),Q9UUF4 (),GO:0005739 (mitochondrion); GO:0016020 (membrane),,
PF08520,eukaryotic,X,,X,X,EM,Q3E7A7 ();Q2V2P4 (),Q10167 (),GO:0005737 (cytoplasm),,
PF11882,eukaryotic,X,X,X,,EM,P53917 (),O13665 (),GO:0005783 (endoplasmic reticulum); GO:0006974 (cellular response to DNA damage stimulus); GO:0051726 (regulation of cell cycle),,GO:1901990 (regulation of mitotic cell cycle phase transition)
PF12597,eukaryotic,X,X,X,X,rule-based/EM,Q04935 (),G2TRP9 (),GO:0016020 (membrane); GO:0045333 (cellular respiration); GO:0051082 (unfolded protein binding); GO:0051604 (protein maturation); GO:0070271 (protein complex biogenesis),GO:0006091 (generation of precursor metabolites and energy),GO:0006461 (protein complex assembly)
PF11022,eukaryotic,X,,X,X,EM,P81451 ();Q3E824,C6Y4A3,GO:0006811 (ion transport),GO:0055085 (transmembrane transport); GO:0055086 (nucleobase-containing small molecule metabolic process),GO:1901135 (carbohydrate derivative metabolic process)
PF12955,eukaryotic,,,X,X,EM,,O74728 (),,,
PF11595,eukaryotic,,,X,X,rule-based/EM,,Q9C108,,,
PF08590,eukaryotic,X,X,X,,EM,Q08954 (),Q9UTP4 (),GO:0005737 (cytoplasm),,GO:0006281 (DNA repair)
PF11223,eukaryotic,X,X,X,X,rule-based/EM,P38904 (),Q10207 (),GO:0005634 (nucleus),,"GO:0006355 (regulation of transcription, DNA-templated)"
PF09428,eukaryotic,X,X,X,,EM,P53952 (),Q9UUH6,,,
PF10153,eukaryotic,X,,X,X,rule-based/EM,Q3E705 (),Q09867 (),GO:0005730 (nucleolus); GO:0006364 (rRNA processing),,
